FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
411490.0,544435.0,68457.0,102338.0,2918,2693,0,79,530775.0,397740.0,233450.0,183109.0,57.9,2,Nano1
524072.0,639233.0,48041.0,68366.0,1734,1347,0,142,932037.0,741524.0,285277.0,249981.0,60.5,2,Nano1
688565.0,869832.0,49625.0,65011.0,1825,1483,218,90,1091020.0,824474.0,456147.0,352776.0,60.8,2,Nano1
1620380.0,1276530.0,2564490.0,2411890.0,6645,3693,1521,709,2423870.0,1348280.0,1611510.0,863036.0,64.2,2,Nano1
613416.0,736341.0,132255.0,194528.0,2521,1796,73,132,1163460.0,888951.0,473758.0,391489.0,65.7,2,Nano1
551866.0,680139.0,120543.0,169676.0,3369,2943,1132,579,875184.0,636579.0,534339.0,352926.0,66.1,2,Nano1
427573.0,537844.0,40129.0,52559.0,2727,1109,671,486,578460.0,440840.0,304036.0,246372.0,71.2,2,Nano1
318469.0,415306.0,44705.0,64461.0,879,1060,545,237,482480.0,402278.0,188699.0,176338.0,73.6,2,Nano1
1781030.0,1083420.0,2461230.0,1773350.0,6174,2515,1514,642,1187160.0,653569.0,654056.0,333092.0,73.7,2,Nano1
598732.0,849219.0,85657.0,118266.0,1487,796,901,243,501504.0,380216.0,349178.0,234516.0,75.5,2,Nano1
443663.0,574878.0,78051.0,121674.0,958,968,275,174,714341.0,584479.0,226245.0,210354.0,76.4,2,Nano1
530118.0,703453.0,30139.0,44996.0,1652,1429,321,182,749657.0,603180.0,208827.0,189329.0,77.5,2,Nano1
660671.0,716635.0,138012.0,201539.0,2564,1866,722,307,1685010.0,1222620.0,648643.0,445132.0,77.8,2,Nano1
694768.0,727384.0,581937.0,748625.0,4065,2901,917,527,530615.0,437537.0,284243.0,228785.0,80.7,2,Nano1
393858.0,472237.0,95387.0,142841.0,1269,1153,90,200,813710.0,662595.0,246373.0,219725.0,80.9,2,Nano1
517495.0,661758.0,29497.0,44568.0,406,685,588,215,899645.0,719629.0,268182.0,238589.0,81.9,2,Nano1
431621.0,559119.0,41162.0,58319.0,955,839,168,139,570647.0,474518.0,217449.0,185930.0,82.7,2,Nano1
484505.0,601408.0,47172.0,68166.0,1606,1353,531,305,870397.0,694369.0,356935.0,305598.0,83.5,2,Nano1
514357.0,687293.0,49877.0,62021.0,2347,1833,753,387,672759.0,567049.0,289167.0,250057.0,84.8,2,Nano1
522363.0,641955.0,49773.0,65598.0,1628,1331,152,213,902990.0,703949.0,310009.0,263738.0,85.4,2,Nano1
640491.0,794640.0,61526.0,87644.0,1792,1211,561,268,1190500.0,929552.0,380535.0,320442.0,85.7,2,Nano1
492714.0,600732.0,49381.0,67446.0,1513,845,576,334,834375.0,618928.0,331835.0,268479.0,87.5,2,Nano1
336739.0,200084.0,151269.0,68130.0,5819,1555,1454,371,6702460.0,1520220.0,3565050.0,853118.0,87.5,2,Nano1
1050150.0,1054830.0,68057.0,82226.0,3416,2419,441,342,2467120.0,1711070.0,784437.0,562368.0,91.4,2,Nano1
487552.0,630872.0,42546.0,61793.0,1321,910,188,119,855331.0,666143.0,245657.0,217613.0,93.0,2,Nano1
699234.0,762904.0,69166.0,96273.0,4844,3759,575,431,1523200.0,1075650.0,607582.0,455224.0,93.0,2,Nano1
1321820.0,1119100.0,1796580.0,2053410.0,3668,2227,747,404,452564.0,361329.0,158653.0,141084.0,95.6,2,Nano1
513493.0,621864.0,84430.0,125883.0,2056,1635,273,195,1009680.0,821392.0,404136.0,351526.0,96.4,2,Nano1
559023.0,706611.0,55331.0,76899.0,2382,1985,0,149,979191.0,755830.0,350811.0,287676.0,96.6,2,Nano1
579039.0,705377.0,54632.0,67861.0,2083,1292,362,224,928083.0,691460.0,385850.0,308499.0,100.9,2,Nano1
706731.0,779734.0,429531.0,603233.0,4668,4167,709,399,1378260.0,1037000.0,504686.0,386121.0,100.9,2,Nano1
664586.0,770264.0,431149.0,607475.0,1719,1199,614,364,474720.0,379969.0,219285.0,167858.0,102.1,2,Nano1
