FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
3650.0,20405.0,1752.0,6053.0,2688,4419,3801,6538,10517.0,18089.0,804.0,2077.0,141.1,0,-134567.22590960114,27221.889519601627
1976.0,9620.0,1479.0,6339.0,2871,4337,3194,4808,8376.0,12820.0,304.0,1065.0,141.1,0,-136732.50727695928,28458.126414742987
3298.0,14328.0,1450.0,4207.0,2847,3204,3611,3748,8902.0,9607.0,653.0,1954.0,141.1,0,-135732.23423569856,27899.71832664425
3723.0,6998.0,1409.0,3179.0,2524,3340,3539,4939,8049.0,10772.0,2915.0,2750.0,141.2,0,-134914.21756878396,27039.406877083595
36661.0,62496.0,19415.0,33541.0,221,104,206,94,51203.0,50950.0,28258.0,42343.0,141.2,0,-73617.15019383811,-399.86982985726354
97809.0,147539.0,27753.0,43384.0,391,355,51,36,180388.0,157260.0,69398.0,65121.0,141.2,0,35475.61821210582,-80884.31568604869
14648.0,20464.0,7487.0,13013.0,5498,5311,8538,8651,21998.0,21782.0,4615.0,3523.0,141.2,0,-119536.3927314523,23750.42128439837
47120.0,80121.0,24836.0,41504.0,37,206,272,150,64738.0,59471.0,39227.0,45504.0,141.3,0,-54733.88634188977,-9014.211249593678
1439200.0,1585000.0,1151670.0,1393740.0,4909,3420,892,626,201410.0,165740.0,72800.0,58084.0,141.3,0,1282928.4692657294,735445.2891055988
38755.0,58976.0,5875.0,8345.0,294,177,522,223,41211.0,39000.0,37295.0,26729.0,141.3,0,-85270.68317873203,-6357.042494944228
9927.0,24000.0,6186.0,12544.0,103,76,259,177,20024.0,21368.0,10254.0,15008.0,141.4,0,-118786.91798851348,18770.483138229232
36420.0,56759.0,2827.0,4319.0,433,255,1,65,42464.0,37517.0,40338.0,37072.0,141.4,0,-84582.96074748287,-12536.5206468496
1477.0,5296.0,0.0,529.0,204,115,134,48,4110.0,5977.0,4439.0,4497.0,141.4,0,-137580.62097408492,26862.037532870203
465969.0,598302.0,109050.0,166643.0,1281,1138,269,119,790500.0,648967.0,239690.0,220748.0,141.4,0,605238.4547037341,-425463.3170551253
5325.0,10756.0,2011.0,3209.0,1961,2542,2821,3351,8338.0,9602.0,1451.0,1823.0,141.4,0,-134569.87308882448,28275.190336021515
2560.0,13266.0,859.0,3178.0,432,1382,683,2146,1741.0,5706.0,130.0,323.0,141.4,0,-140225.69411481993,31574.31404249454
80945.0,127652.0,18883.0,27331.0,430,232,152,98,53162.0,48396.0,39298.0,38433.0,141.4,0,-52919.96320345052,-4672.108878758085
9851.0,11133.0,2274.0,3733.0,3352,3148,3967,4035,11071.0,10821.0,3099.0,2629.0,141.5,0,-130641.53438760672,26322.2397594698
29969.0,49434.0,9343.0,15666.0,396,200,54,108,43090.0,42856.0,34497.0,37817.0,141.5,0,-84644.01388617855,-5869.53429947043
13973.0,19537.0,2028.0,4342.0,4149,4240,4788,4955,14609.0,14019.0,2829.0,3322.0,141.6,0,-127657.60500402065,24583.51727771166
66062.0,94512.0,25801.0,41050.0,394,303,0,31,73888.0,66336.0,59883.0,57051.0,141.7,0,-32297.706755385603,-24485.682545540218
1143.0,4880.0,374.0,1338.0,2791,3878,3949,5560,9024.0,12598.0,164.0,545.0,141.7,0,-137615.01035501424,27506.05511770087
38567.0,57655.0,17040.0,26590.0,858,321,96,59,44944.0,41923.0,29420.0,29346.0,141.7,0,-79060.52716187183,2903.0663025883805
157374.0,218370.0,142861.0,217392.0,847,474,0,105,114678.0,100173.0,54764.0,55284.0,141.7,0,95505.95927926776,42225.952205652735
8744.0,17555.0,2818.0,5025.0,5371,5137,8011,8039,19606.0,18148.0,2962.0,3382.0,141.8,0,-126634.67848421232,22340.371194498348
149847.0,240975.0,18101.0,31986.0,291,254,222,119,161847.0,142318.0,53835.0,56330.0,141.9,0,31299.361707583917,-66710.78124833503
13268.0,29291.0,2842.0,3658.0,2862,2969,7313,7410,18172.0,18612.0,7890.0,6930.0,141.9,0,-122978.31945282912,20162.56212828508
5777.0,14616.0,2938.0,6799.0,2935,3043,4261,4888,12461.0,13350.0,1483.0,2686.0,142.1,0,-131709.34333245532,26710.94302972479
333647.0,488271.0,30001.0,41904.0,290,340,323,165,223333.0,195506.0,116779.0,104494.0,142.2,0,169264.561700612,-121343.47770789616
6137.0,10804.0,2677.0,2838.0,2184,2149,3133,3412,7970.0,7882.0,1874.0,1785.0,142.3,0,-133827.94889801988,28743.80375158253
1464.0,8357.0,671.0,3179.0,1661,2885,2089,3512,5664.0,9553.0,281.0,670.0,142.4,0,-138798.46757277474,29312.18561655652
940.0,5274.0,1069.0,3857.0,948,2280,1128,2477,3694.0,7707.0,0.0,0.0,142.6,0,-139872.15923684288,30801.657972935107
4658.0,12836.0,2737.0,6127.0,4722,5213,6141,6520,17185.0,18966.0,1810.0,2951.0,142.6,0,-129863.40785201007,23967.490796619597
