FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
2998.0,17440.0,866.0,6055.0,11176,32868,14952,43640,13626.0,38802.0,1638.0,3496.0,22.8,Syn,6
7092.0,11461.0,1855.0,5225.0,3533,4407,4022,4961,9702.0,11351.0,2028.0,2171.0,22.8,Syn,6
20096.0,24207.0,2885.0,6096.0,162,180,65,46,14348.0,13828.0,11093.0,12020.0,22.8,PEuk1,4
13117.0,29504.0,2935.0,5160.0,221,166,150,137,12378.0,12748.0,3473.0,5537.0,22.9,PEuk1,4
123770.0,179390.0,19189.0,29720.0,375,280,251,113,160288.0,137240.0,46985.0,63206.0,22.9,PEuk2,5
85487.0,109165.0,23607.0,32012.0,475,258,238,203,49002.0,43773.0,39420.0,33828.0,23.0,PEuk1,4
863.0,3867.0,796.0,2717.0,1312,1946,2263,3791,5650.0,9132.0,0.0,756.0,23.0,Syn,6
41688.0,72312.0,2169.0,2747.0,5103,5378,7990,8417,25315.0,24847.0,3099.0,5070.0,23.0,Syn,6
2843.0,9530.0,1259.0,3551.0,2525,3249,2828,3749,7000.0,9379.0,650.0,1034.0,23.1,Syn,6
11364.0,21373.0,2979.0,4570.0,4347,4080,5789,5838,17068.0,17564.0,3450.0,4785.0,23.1,Syn,6
3022.0,9589.0,425.0,1532.0,104,20,137,115,6179.0,7751.0,2459.0,3263.0,23.1,PEuk1,4
3388.0,8024.0,199.0,2533.0,82,17,159,79,10519.0,8515.0,1837.0,3473.0,23.1,PEuk1,4
1614.0,6417.0,142.0,1423.0,8,0,117,0,2102.0,4112.0,20263.0,59436.0,23.1,PEuk1,4
495494.0,624732.0,63124.0,95431.0,846,796,188,210,865576.0,712403.0,306407.0,307716.0,23.1,Nano1,2
2088.0,7970.0,0.0,0.0,118,188,194,92,2350.0,4500.0,1421.0,2124.0,23.1,PEuk1,4
71579.0,115214.0,16247.0,24897.0,542,407,143,140,65264.0,62749.0,40800.0,51280.0,23.2,PEuk1,4
2986.0,8260.0,1625.0,3190.0,3989,4979,4722,5593,11353.0,13418.0,1217.0,2227.0,23.3,Syn,6
19292.0,19685.0,4181.0,4339.0,3406,3620,4153,4279,10310.0,8974.0,3628.0,2773.0,23.3,Syn,6
145174.0,228654.0,8917.0,14872.0,497,300,572,196,125052.0,114084.0,37488.0,58138.0,23.4,PEuk2,5
15679.0,24000.0,2202.0,3469.0,5878,6170,7476,8008,19517.0,21289.0,2134.0,3462.0,23.4,Syn,6
14852.0,24750.0,1308.0,3197.0,3511,3614,4824,4979,14691.0,14689.0,1725.0,3510.0,23.6,Syn,6
8799.0,21659.0,2545.0,3697.0,3316,3284,4851,4990,12779.0,12905.0,3001.0,2611.0,23.6,Syn,6
13443.0,22572.0,7403.0,12983.0,5851,6131,8793,9270,26244.0,29901.0,5857.0,5577.0,23.6,Syn,6
5081.0,11036.0,1484.0,4175.0,3741,4184,5089,5496,14636.0,15361.0,752.0,1275.0,23.6,Syn,6
4780.0,10034.0,2564.0,4935.0,3046,3345,4627,5317,11649.0,12057.0,725.0,692.0,23.7,Syn,6
3212.0,8182.0,1488.0,4857.0,2948,3247,3781,4192,9738.0,10451.0,632.0,1186.0,23.7,Syn,6
66108.0,91314.0,11181.0,18870.0,515,265,150,138,66486.0,63080.0,54452.0,48828.0,23.7,PEuk1,4
11321.0,15903.0,4315.0,6546.0,12546,13495,13464,13962,24407.0,23996.0,1654.0,3332.0,23.8,Syn,6
28792.0,47959.0,5110.0,8205.0,269,165,0,0,36360.0,35410.0,17244.0,25496.0,23.8,PEuk1,4
7064.0,18538.0,884.0,2679.0,2244,2556,3886,4194,9635.0,11172.0,1108.0,1161.0,23.9,Syn,6
3303.0,16098.0,1332.0,3732.0,2718,4799,2904,5544,6571.0,11155.0,454.0,2445.0,23.9,Syn,6
6019.0,24188.0,451.0,3113.0,2296,4584,2237,5172,4429.0,9974.0,893.0,1586.0,23.9,Syn,6
7553.0,12726.0,11020.0,13194.0,11663,12734,11803,12598,21507.0,20732.0,1163.0,1720.0,23.9,Syn,6
9558.0,17236.0,2288.0,5996.0,2743,3006,4835,5307,14749.0,15569.0,1792.0,2055.0,23.9,Syn,6
3026.0,15667.0,1007.0,3292.0,2075,3825,2664,5020,7259.0,13022.0,489.0,1386.0,24.0,Syn,6
36960.0,68886.0,4087.0,5171.0,318,250,330,141,53958.0,54892.0,19650.0,36347.0,24.0,PEuk1,4
1456.0,5481.0,545.0,2390.0,1490,2573,2372,3942,5863.0,9910.0,0.0,893.0,24.1,Syn,6
