FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,SOM_X,SOM_Y,HDBSCAN_Cluster
27188.0,-0.1903739560472781,7314.0,-0.1054135415537644,137,-0.6488641865447513,95,-0.660159692999218,33060.0,-0.1363703885711968,16762.0,30072.0,1,1-0,1,0,3
72191.0,0.136704162720548,91277.0,0.1549908294697857,4350,0.2435943844250784,10439,1.1548658761392572,25809.0,-0.1754713980755042,12397.0,12162.0,1,0-1,0,1,6
22252.0,-0.1818426006382758,4299.0,-0.1132848486517499,358,-0.6403404469665677,299,-0.6305962646113519,34488.0,-0.1330838059541432,20991.0,31266.0,1,1-0,1,0,3
3977.0,-0.3667742906787987,1340.0,-0.1226129686846566,4870,0.6361471477014309,6342,0.613939603579559,14209.0,-0.2094016729896246,1234.0,1429.0,1,0-0,0,0,2
13668.0,-0.3436299911656216,2851.0,-0.1212653226104917,3796,0.3675341653186685,5304,0.3031012708157099,12219.0,-0.2236435309968567,3148.0,3440.0,1,0-0,0,0,2
4089.0,-0.3519429233186706,863.0,-0.1234750104471811,3095,0.1067538084942371,4031,0.1365324685846473,9650.0,-0.2315608541334467,726.0,1325.0,1,0-0,0,0,2
3284.0,-0.3286572911104649,1665.0,-0.119076338833601,2002,0.3175435845493208,3056,0.3931430269913249,7323.0,-0.214032413509161,2826.0,4576.0,1,0-0,0,0,2
1897.0,-0.3506409494008309,563.0,-0.1247473690311692,1133,-0.0800773482059517,1674,-0.0749727447959717,5156.0,-0.2314365389517141,817.0,2148.0,1,0-0,0,0,2
3178.0,-0.3453131350791447,446.0,-0.125212269283011,491,-0.3493814446085668,557,-0.3890208212133605,1372.0,-0.2569172663574521,263.0,284.0,1,1-0,1,0,3
21379.0,-0.2646378630714251,3057.0,-0.1176327012094606,74,-0.6615346102420514,43,-0.658301420357695,30970.0,-0.1558024054157617,22493.0,22357.0,1,1-0,1,0,3
1996.0,-0.3817384251160749,341.0,-0.1265354469228684,145,-0.6682153791006279,222,-0.6474896522615611,14484.0,-0.2064103389291857,8148.0,8001.0,1,1-0,1,0,3
1054.0,-0.3818155156769996,367.0,-0.1274219571197004,148,-0.6633775809616588,235,-0.6371846857949335,10991.0,-0.2060218539862716,3215.0,5189.0,1,1-0,1,0,3
7647.0,-0.3409874980494798,27.0,-0.1278134520686198,53,-0.6615346102420514,393,-0.6268797193283059,6591.0,-0.2482579369798961,7773.0,5388.0,1,1-0,1,0,3
3390.0,-0.3557374920397429,338.0,-0.1243596384567586,297,-0.6405708183065185,190,-0.6309341323643561,5166.0,-0.2502586344359039,78389.0,126968.0,1,1-0,1,0,3
651700.0,2.498801777543373,46582.0,-0.0201448123667639,4013,0.0553809996851839,998,-0.5897142664978456,1279470.0,3.638067734944503,1241630.0,915890.0,1,1-1,1,1,7
15198.0,-0.2727238063506402,2875.0,-0.1224115746484336,7467,1.162545659489263,10385,1.2677137056426546,26499.0,-0.1601612064752582,5754.0,4560.0,1,0-1,0,1,6
4595.0,-0.3659177288907462,5688.0,-0.1096597559997365,2676,-0.0063585194216601,3632,0.0029057722714926,10863.0,-0.2295679263762972,3236.0,2026.0,1,0-0,0,0,2
1076.0,7061.0,0.0,0.0,86,0.0,102,0.0,2933.0,4914.0,129.0,197.0,0,5-2,5,2,0
198231.0,0.8093278724066112,28045.0,-0.0483719746213044,485,-0.5912713515570236,0,-0.6469828506320549,328800.0,0.7762934029675457,145793.0,114971.0,1,2-0,2,0,5
2249.0,-0.3527138289279178,324.0,-0.1267142547120383,1776,0.0374120351690129,2180,-0.0320635401644403,6184.0,-0.2321358118489596,136.0,1505.0,1,0-0,0,0,2
3399.0,-0.3396898069405804,872.0,-0.1246607884174658,2077,-0.0346941942356222,3409,0.1039282304197436,8567.0,-0.230636259969311,665.0,1681.0,1,0-0,0,0,2
8066.0,-0.3258520512545931,3642.0,-0.1188975310444311,6168,0.7462646481979665,7286,0.6560041388285799,17897.0,-0.1981278399462564,3779.0,4163.0,1,0-0,0,0,2
