FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
1403.0,4460.0,532.0,1519.0,121,27,219.0,140.0,2334.0,4017.0,16058.0,24312.0,6656.4,6,4
297552.0,438449.0,55470.0,90958.0,399,503,667.0,306.0,211773.0,185194.0,79506.0,86280.0,6656.4,17,0
30637.0,46884.0,2566.0,3571.0,6673,6065,9718.0,10396.0,27412.0,28214.0,6582.0,5589.0,6656.4,21,1
203188.0,322816.0,19453.0,26294.0,430,327,428.0,142.0,144127.0,128035.0,61421.0,59677.0,6656.4,3,2
1484.0,3855.0,887.0,2500.0,1864,2200,2391.0,2837.0,5756.0,6789.0,621.0,1111.0,6656.5,11,6
139940.0,210813.0,21657.0,37425.0,634,535,415.0,184.0,59082.0,56911.0,57864.0,51085.0,6656.5,15,3
1269.0,5557.0,628.0,4005.0,770,1647,837.0,2118.0,2248.0,5954.0,1533.0,2526.0,6656.5,19,0
1807.0,7117.0,2246.0,5330.0,2337,3154,3242.0,3986.0,8535.0,11009.0,311.0,1034.0,6656.5,4,2
52386.0,100108.0,12010.0,20206.0,511,254,0.0,57.0,47654.0,44165.0,31542.0,32797.0,6656.7,22,1
9058.0,16292.0,1350.0,3554.0,11729,13535,21328.0,25113.0,33591.0,38751.0,5714.0,10758.0,6656.7,23,1
51506.0,74746.0,8565.0,12426.0,227,151,131.0,56.0,40927.0,37960.0,35686.0,33692.0,6656.8,22,1
3936.0,11014.0,492.0,1991.0,1185,1256,1710.0,2014.0,5502.0,6385.0,717.0,1303.0,6656.8,19,0
59045.0,87179.0,12668.0,20116.0,648,331,152.0,112.0,36885.0,34786.0,32959.0,29913.0,6656.8,22,1
125366.0,180111.0,15826.0,25891.0,65,295,4.0,42.0,53622.0,48636.0,41901.0,39740.0,6656.8,15,3
1261.0,3874.0,667.0,2190.0,209,125,108.0,7.0,17966.0,18819.0,8667.0,9915.0,6656.8,6,4
1474.0,5448.0,0.0,1878.0,188,126,193.0,158.0,3012.0,4053.0,18319.0,33686.0,6656.8,6,4
804311.0,888732.0,755751.0,1229930.0,2814,2895,763.0,414.0,1280160.0,1020070.0,909178.0,733668.0,6656.8,2,2
1453.0,5780.0,777.0,3506.0,146,126,133.0,39.0,6440.0,9954.0,6246.0,9216.0,6656.8,6,4
4523.0,16129.0,0.0,833.0,219,141,179.0,48.0,4851.0,8148.0,24427.0,47850.0,6656.8,6,4
654856.0,839111.0,105386.0,162428.0,1416,1176,64.0,108.0,750453.0,635051.0,206874.0,193455.0,6656.8,10,6
71471.0,110936.0,10330.0,14829.0,275,233,109.0,105.0,53119.0,50853.0,44841.0,40872.0,6656.9,15,3
227968.0,356628.0,50507.0,86473.0,858,565,278.0,143.0,108696.0,95106.0,98944.0,88788.0,6657.0,0,2
72854.0,119356.0,16624.0,27453.0,237,149,259.0,188.0,55386.0,53509.0,34444.0,35833.0,6657.0,15,3
2911.0,9016.0,667.0,1455.0,4713,6034,5196.0,6337.0,14120.0,17464.0,453.0,2409.0,6657.1,13,7
51782.0,75218.0,12537.0,19749.0,0,80,0.0,0.0,35916.0,35509.0,23828.0,23273.0,6657.1,22,1
44932.0,72061.0,5386.0,8526.0,206,208,200.0,203.0,45185.0,43321.0,29193.0,31839.0,6657.1,22,1
33360.0,63718.0,5999.0,9166.0,266,127,194.0,79.0,27557.0,25847.0,22413.0,21760.0,6657.2,6,4
25961.0,46677.0,2490.0,5018.0,3325,3580,5402.0,5440.0,16426.0,15766.0,5410.0,5466.0,6657.2,13,7
24666.0,38240.0,5000.0,6291.0,4900,4620,7384.0,7490.0,20477.0,21317.0,5138.0,5897.0,6657.3,7,5
18234.0,37532.0,1381.0,2226.0,5567,6271,7151.0,7582.0,17237.0,18314.0,3596.0,4760.0,6657.4,7,5
93681.0,159603.0,56278.0,82073.0,7176,7610,12879.0,12614.0,33702.0,32192.0,8452.0,8674.0,6657.4,21,1
11587.0,17708.0,1376.0,4162.0,2951,2831,4028.0,4397.0,10889.0,11056.0,5980.0,4166.0,6657.4,4,2
20212.0,26871.0,1584.0,3828.0,2901,2692,5074.0,5150.0,14735.0,14801.0,2848.0,3405.0,6657.5,13,7
10230.0,11266.0,1247.0,2876.0,4352,4704,5493.0,5411.0,12963.0,13025.0,2801.0,2107.0,6657.5,13,7
17529.0,24726.0,1953.0,4213.0,3225,3044,4501.0,4416.0,13475.0,13684.0,3736.0,3355.0,6657.5,4,2
8580.0,19840.0,1452.0,3665.0,3804,3830,5336.0,5915.0,13164.0,13465.0,796.0,3324.0,6657.5,13,7
9346.0,28913.0,1651.0,3749.0,4332,4774,5664.0,6359.0,16016.0,17422.0,2075.0,3351.0,6657.5,13,7
9845.0,20952.0,2363.0,5010.0,2920,2763,3978.0,4068.0,13379.0,13763.0,3364.0,3171.0,6657.5,4,2
1783.0,9551.0,664.0,2489.0,986,1466,1333.0,2065.0,3201.0,4810.0,0.0,518.0,6657.6,19,0
53558.0,84753.0,13112.0,21123.0,394,209,108.0,140.0,42625.0,38290.0,28181.0,27088.0,6657.7,22,1
39998.0,63830.0,8402.0,14681.0,182,234,222.0,101.0,34316.0,34057.0,19897.0,21747.0,6657.7,6,4
50594.0,88813.0,4099.0,7242.0,509,239,65.0,96.0,39094.0,36592.0,19001.0,29208.0,6657.7,22,1
57637.0,92908.0,5626.0,9949.0,312,193,513.0,176.0,48552.0,43757.0,42103.0,33812.0,6657.8,22,1
10011.0,18075.0,3088.0,5088.0,3116,3203,4261.0,4447.0,11374.0,10778.0,1397.0,1482.0,6657.9,4,2
9169.0,19281.0,1719.0,3546.0,4197,4430,4978.0,5281.0,13337.0,14130.0,2774.0,2286.0,6657.9,13,7
53413.0,73542.0,20301.0,31620.0,285,174,169.0,87.0,46410.0,42808.0,31626.0,34617.0,6657.9,22,1
21727.0,34604.0,6830.0,12179.0,445,274,2.0,0.0,12627.0,11666.0,5994.0,11247.0,6657.9,6,4
11638.0,20739.0,2212.0,5015.0,2724,2938,4810.0,4923.0,14102.0,13937.0,3528.0,3787.0,6657.9,13,7
6357.0,20465.0,1833.0,4455.0,2775,3554,3640.0,4629.0,10310.0,13086.0,2655.0,3359.0,6658.0,4,2
103585.0,152168.0,18846.0,30664.0,8,100,109.0,100.0,74419.0,67488.0,58341.0,55687.0,6658.0,9,-1
3953.0,10574.0,1405.0,4825.0,1348,1641,2963.0,3474.0,5836.0,6977.0,1135.0,2363.0,6658.0,11,6
36135.0,59898.0,4547.0,8015.0,5628,5573,9043.0,9006.0,26044.0,23644.0,7815.0,7159.0,6658.0,7,5
2251.0,9195.0,456.0,1992.0,1600,2445,2143.0,3114.0,5654.0,8081.0,711.0,1635.0,6658.0,11,6
14828.0,25991.0,2044.0,3460.0,3401,3509,4864.0,4943.0,14404.0,14118.0,2862.0,3520.0,6658.2,13,7
5260.0,8086.0,1937.0,3881.0,2257,2394,3327.0,3272.0,8476.0,8432.0,1503.0,1968.0,6658.2,11,6
56626.0,84922.0,12669.0,18878.0,29,106,0.0,0.0,53467.0,48821.0,37114.0,35086.0,6658.2,15,3
96281.0,124807.0,325975.0,355813.0,6317,5722,7572.0,7930.0,20807.0,19775.0,5250.0,4389.0,6658.2,7,5
5739.0,16842.0,2063.0,4571.0,3964,4791,5581.0,6697.0,12544.0,14348.0,1322.0,3528.0,6658.3,7,5
2765.0,10714.0,0.0,1368.0,0,0,19.0,0.0,4092.0,5745.0,744.0,947.0,6658.3,6,4
598172.0,777403.0,78973.0,115544.0,880,914,51.0,195.0,590594.0,474549.0,242460.0,214748.0,6658.3,8,5
20619.0,31660.0,2813.0,4839.0,4646,4375,6874.0,7242.0,17740.0,18081.0,5086.0,6192.0,6658.3,7,5
4115.0,16367.0,1630.0,4183.0,2536,2583,3086.0,3431.0,7749.0,8354.0,0.0,1527.0,6658.3,11,6
500261.0,573715.0,452793.0,629415.0,1223,946,144.0,191.0,202443.0,175936.0,118910.0,92099.0,6658.3,17,0
85634.0,127349.0,9676.0,15901.0,556,463,223.0,110.0,58910.0,52448.0,46282.0,43657.0,6658.3,15,3
6185.0,13145.0,2487.0,5316.0,3615,4223,4455.0,5354.0,10908.0,13611.0,0.0,749.0,6658.4,13,7
7476.0,14494.0,3089.0,6436.0,2361,2698,3159.0,3491.0,9585.0,10300.0,1959.0,2215.0,6658.4,4,2
4327.0,11090.0,1680.0,3895.0,1579,1708,2250.0,2550.0,6191.0,7085.0,238.0,812.0,6658.4,11,6
538125.0,627026.0,655946.0,796847.0,1374,1090,822.0,351.0,221298.0,181442.0,132766.0,114144.0,6658.5,17,0
10361.0,11863.0,1392.0,3881.0,1320,1307,1340.0,1600.0,3686.0,4091.0,527.0,828.0,6658.5,19,0
15660.0,20879.0,2052.0,3117.0,4572,4972,5610.0,6133.0,15255.0,15035.0,2573.0,1511.0,6658.5,13,7
22439.0,19744.0,1553.0,1991.0,3354,3099,4069.0,4377.0,13328.0,14114.0,2665.0,3003.0,6658.5,4,2
89645.0,148545.0,9343.0,16517.0,538,387,174.0,172.0,67747.0,60420.0,52740.0,47279.0,6658.5,9,-1
37736.0,46513.0,5213.0,5365.0,6095,6155,8374.0,8375.0,22980.0,21250.0,5384.0,5001.0,6658.5,7,5
347120.0,359026.0,242751.0,308034.0,666,643,292.0,156.0,133451.0,117140.0,121992.0,103859.0,6658.5,3,2
25442.0,41759.0,4686.0,7527.0,4103,3997,6460.0,6455.0,17321.0,18107.0,3356.0,4028.0,6658.5,13,7
30654.0,45780.0,54924.0,85938.0,1863,1885,2637.0,2795.0,8476.0,7979.0,2707.0,2263.0,6658.5,11,6
7656.0,28005.0,1253.0,3064.0,2446,3022,3616.0,4274.0,10226.0,11994.0,0.0,2332.0,6658.6,4,2
4940.0,12519.0,2458.0,4214.0,3496,3975,3974.0,4533.0,10053.0,10288.0,713.0,961.0,6658.6,4,2
1510.0,8047.0,41.0,2437.0,148,10,109.0,0.0,2574.0,4077.0,477.0,693.0,6658.6,6,4
267866.0,398547.0,18820.0,30328.0,454,258,212.0,90.0,193411.0,157070.0,74792.0,64639.0,6658.6,3,2
555301.0,675813.0,116293.0,174281.0,2450,1973,62.0,171.0,654682.0,498957.0,250458.0,182193.0,6658.6,8,5
