"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
111099,208898,27351,43794,94,108,0,100,126804,135416,77933,82154,2593.1
19150,27259,2806,4859,1927,2241,3172,3703,9902,11094,2883,4017,2593.2
5310,8023,1711,3810,86,14,38,105,24803,15718,15103,9157,2593.3
2082,7256,164,1274,115,52,125,33,5503,10086,31024,60101,2593.3
664204,890282,154810,259628,1543,1514,99,110,1.25529e+06,1.13076e+06,622438,529283,2593.3
60362,100070,13600,22753,2548,2906,4400,5091,12642,14008,4899,3907,2593.3
5240,19211,1795,4984,1664,2283,2375,3266,6302,8905,459,1454,2593.4
9855,21274,2787,5507,2202,2975,3605,4507,11568,13151,1869,2058,2593.4
8620,18729,2113,4357,2048,2625,2639,2883,7786,8515,2576,2905,2593.4
63482,108411,24975,45066,152,170,0,58,70875,75556,56497,62852,2593.4
10761,24367,4392,9544,409,272,259,138,15681,17158,15029,15983,2593.5
4560,13245,945,2933,1487,1830,2325,2746,5308,6317,737,1094,2593.5
33575,57517,12546,24031,236,127,156,147,38557,38495,32326,31562,2593.5
47424,90637,13061,24160,85,73,503,204,47481,50615,39998,47203,2593.6
2513,15408,799,4627,1266,2402,1565,3016,3901,7149,1293,2031,2593.6
38318,66094,9610,17121,3881,4734,6371,7510,18171,22220,1695,4924,2593.6
1157,6091,822,3141,1623,3501,1573,3421,3590,7568,460,1365,2593.6
17723,43950,1230,2925,145,163,109,34,23815,27289,7038,20867,2593.7
86532,149095,9974,18956,0,131,99,71,77673,77183,68620,64356,2593.7
3614,13086,1304,5474,402,1466,545,1766,1605,5274,1760,2247,2593.8
7192,9702,2770,5810,596,547,254,139,35904,38590,10647,24133,2593.8
2301,10831,422,2106,1208,4807,1466,5302,3902,12964,2018,2766,2593.8
2003,6222,152,1383,2257,7020,2389,7588,6142,17285,0,87,2593.8
6877,21124,2217,4884,1441,1484,2906,3602,7401,8873,2213,4472,2593.9
5398,15459,530,3173,2848,3550,4173,5105,9144,11518,1608,1714,2593.9
2781,17322,231,3445,1321,2333,2020,3708,5527,10382,0,511,2593.9
54365,100085,8699,15926,0,12,367,198,60068,62859,30969,53534,2593.9
40289,81816,12997,23573,162,162,0,0,53970,61882,44835,60566,2593.9
42215,85368,11852,25119,420,264,190,103,47692,50886,31771,43217,2594
23601,57701,30743,51595,2153,2364,2919,3280,8832,9512,1880,2439,2594.1
6544,16367,1889,4781,5510,6945,7403,9331,19598,24071,1611,3944,2594.1
9662,24896,4045,8215,1300,1247,3078,3562,8301,9788,530,2096,2594.1
14791,26713,2513,4104,5573,6193,7990,9240,18952,22356,5567,5013,2594.2
2858,9960,58,3034,503,1363,1008,2636,2916,8126,580,908,2594.2
5340,24330,526,4435,1932,2655,2607,3624,7378,10299,0,455,2594.3
17140,18348,1501,2507,1918,1901,2587,2854,8961,8200,2169,2550,2594.3
2549,12007,1301,3791,1010,1341,1895,2785,5009,7141,504,2377,2594.3
8971,30808,2226,4334,3488,4211,4818,5755,10582,12635,0,2391,2594.5
11636,29469,2260,5589,2145,2350,3291,3866,8486,9752,1945,2023,2594.5
66097,118973,9949,17575,293,513,103,69,64604,70049,35099,57438,2594.6
28167,60973,7614,15200,197,94,146,171,45501,49270,27969,37784,2594.6
6813,19404,1261,4319,1890,2485,2786,3414,6918,8352,220,847,2594.6
7894,18086,2452,4590,3143,3542,3702,4355,10264,11801,1065,2104,2594.7
5890,22956,1481,4406,4327,6428,4928,7188,11483,16977,1055,1795,2594.7
16609,40403,1560,5724,3238,3727,4731,5194,13470,14352,4604,3630,2594.7
8357,23002,2212,4280,3551,3834,5285,5874,12083,13395,1246,2651,2594.7
2183,7501,422,3512,1339,1648,1814,2414,4441,5839,877,1512,2594.8
4169,13575,1968,5081,3587,4200,4549,5543,12488,15226,1398,1888,2594.8
5743,11465,226,1375,1788,1601,2192,2556,6955,6715,1961,2358,2594.8
2946,16983,175,1416,1329,3391,1890,5223,4380,11170,224,494,2594.8
6079,11018,408,1380,2790,7339,4535,13454,2978,8187,2031,2083,2594.9
27774,49086,4602,8608,5455,5706,8652,9234,23699,25780,7865,7694,2595
20642,50349,8055,16317,306,265,184,122,26147,29805,13107,23871,2595
18121,27442,3500,6591,524,205,190,128,14118,15106,3409,10226,2595
42084,75882,8510,15538,267,191,231,225,41837,44981,29598,37786,2595
8694,13779,2070,4946,2326,2822,3241,3533,8909,9802,1879,2452,2595.1
19059,41376,4176,9003,212,133,68,61,30857,31941,17695,25967,2595.1
42242,72790,8950,12881,185,181,544,227,40799,38966,30020,31869,2595.2
34686,69772,3105,7688,231,116,166,120,26373,30130,10634,22531,2595.2
4360,15622,1459,4606,1218,1414,3496,4685,8125,11129,1389,3506,2595.2
4223,14337,1273,4217,2080,3036,2815,3961,6829,9259,463,632,2595.3
5135,9524,2792,5413,1783,2743,2730,4105,7943,11743,2430,2064,2595.3
32466,37291,4317,4158,0,175,79,99,31914,30658,30228,24382,2595.3
10042,15428,2023,3502,2062,2347,2857,3208,8428,9746,1181,1581,2595.4
64998,113476,6903,12077,0,0,77,92,56671,59986,30154,48663,2595.4
11371,20793,2202,4074,2205,2236,4467,5047,10680,12747,4506,4313,2595.4
30683,48813,7748,13437,121,139,0,0,31945,34403,11277,25431,2595.5
3515,15920,705,2041,3511,4393,4289,5526,10340,12999,2277,2547,2595.5
24256,33415,4348,8781,2041,2245,5143,5849,12926,14269,2107,3621,2595.6
12358,21652,3469,6339,4460,4999,5164,5554,11596,12976,3853,2828,2595.6
22338,37344,18358,31919,130,69,168,70,23660,24220,14253,15497,2595.6
24068,40592,1606,4400,0,69,259,146,26437,26062,22347,24110,2595.7
18984,53518,2343,6002,4779,5360,6052,6421,16410,17467,2990,4807,2595.7
62526,115482,5735,10354,369,300,139,95,70218,68912,66111,61366,2595.7
70494,119654,8634,14048,0,70,0,49,36522,33702,41238,33285,2595.7
4297,22442,1768,5168,1766,2858,2275,3944,6526,11204,899,2319,2595.7
1176,6447,775,3922,536,1730,654,2512,1874,6328,583,941,2595.7
