FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,Cluster
9393.0,-0.2977844422708707,4033.0,-0.0944788295710137,6338,1.2627797165598649,8121,0.852682400334662,19496.0,-0.1835513670440035,3224.0,2655.0,1,'1-4,10
2109.0,-0.3324829232768442,739.0,-0.1092151770086209,1601,-0.0407624892672523,1906,-0.0542985642937195,4895.0,-0.2530532111716408,749.0,1546.0,1,'2-5,17
3144.0,-0.3184204929428861,200.0,-0.1131930722974365,610,-0.4534241739593644,740,-0.3288924793542133,1696.0,-0.2734451227989374,165.0,408.0,1,'2-5,17
6755.0,-0.3187009542896445,1333.0,-0.1090974181190764,3593,0.6211430525643012,4987,0.3918025136617005,14392.0,-0.2034222183795193,5012.0,5297.0,1,'2-5,17
3927.0,-0.3404391688506756,276.0,-0.1114525959099677,508,-0.4952287344960941,646,-0.337285383070348,2108.0,-0.2615421517585697,833.0,784.0,1,'1-5,11
6887.0,-0.288913007039196,1768.0,-0.1060074248574269,5630,1.0676917673884594,6788,0.6288108164281997,16173.0,-0.2000841758852986,779.0,2293.0,1,'1-4,10
2764.0,-0.340001255519772,1263.0,-0.1081553470027198,3123,0.4285887131223947,4311,0.3481959052235224,10536.0,-0.2187500752960713,478.0,1753.0,1,'2-5,17
27651.0,-0.1304867887422119,3388.0,-0.1027195966613426,315,-0.8416998650050509,209,-0.7056608744372163,41088.0,-0.0696562715989164,32066.0,35691.0,1,'1-5,11
3068.0,-0.2954866273772534,932.0,-0.1056400171220479,1652,0.0434800342385817,2221,0.0110201211492417,6079.0,-0.2345284322565587,667.0,1607.0,1,'2-5,17
1582.0,-0.356587837974556,0.0,-0.1161653066695414,472,-0.5544518619231279,490,-0.451684309809836,1392.0,-0.2694883212082269,218.0,359.0,1,'1-5,11
69895.0,0.1278525542438385,7283.0,-0.0891302208078994,64,-0.8626021452734158,291,-0.6819417987177052,69445.0,0.047202354255674,43318.0,55948.0,1,'1-5,11
15638.0,-0.2450823109528076,2155.0,-0.1033955326873284,2256,-0.1775774146601859,5326,0.2646317769193987,17752.0,-0.1999864770805897,7385.0,6904.0,1,'2-5,17
4602.0,-0.3446214871795294,2106.0,-0.1079198292236307,4197,0.5435512545984014,5442,0.3596905342260547,14754.0,-0.2111567070856406,3993.0,2920.0,1,'2-5,17
11047.0,-0.275716562618036,1615.0,-0.1076395630665146,4044,0.410536743799716,6330,0.5527273196971526,18865.0,-0.1822649994486696,4255.0,5610.0,1,'1-4,10
13512.0,-0.2640749565403086,6301.0,-0.0857552510335521,3503,0.3357952567795023,4754,0.189825461188633,15155.0,-0.2122313939374385,3069.0,4055.0,1,'2-5,17
12344.0,-0.282452555314743,1709.0,-0.1092269528975754,2539,-0.1148705738550913,4123,0.0124797565781347,12000.0,-0.2320533958705999,4056.0,3526.0,1,'2-5,17
1863.0,-0.3461123606544032,908.0,-0.1090079213630225,2743,0.3437127871841859,3741,0.2949192120689282,9487.0,-0.2173442980505376,633.0,829.0,1,'2-5,17
326573.0,1.8050556912298212,14187.0,-0.0678888723118502,14,-0.7894441643341388,474,-0.6888750670049469,213974.0,0.6895502843712041,197997.0,176861.0,1,'0-5,5
2671.0,-0.33543022760506,1924.0,-0.1030987802856761,1727,-0.139256567501517,2121,-0.2159531880436182,5724.0,-0.2534277232563582,665.0,1383.0,1,'2-5,17
2947.0,-0.3112269054172575,472.0,-0.1106259285053649,3044,1.4293645562744088,3308,0.7045294043020236,8085.0,-0.200784350652379,787.0,2671.0,1,'1-4,10
727.0,-0.3767023289490908,369.0,-0.1114737925100858,2425,1.264996625073176,2587,0.5830147548466822,5317.0,-0.2128067313429465,0.0,20.0,1,'1-4,10
13542.0,-0.2618853898857911,2188.0,-0.1105270110381474,6612,1.1690361565684102,9674,1.0280211062304323,24177.0,-0.1601579310275945,2269.0,3840.0,1,'1-4,10
18075.0,-0.2851587612922366,3608.0,-0.1005669641604679,0,-0.8686194683809754,519,-0.6750085304304635,19357.0,-0.1846314816071741,6188.0,12617.0,1,'1-5,11
6525.0,-0.324777616802744,1035.0,-0.1081930298473741,4317,0.5292996998699708,5094,0.348378359652134,12100.0,-0.2244871662170328,1685.0,2447.0,1,'2-5,17
3515.0,-0.3472292856669324,1958.0,-0.1007129851835031,916,-0.2029135119551736,1428,-0.205370831184144,4206.0,-0.2444719994913757,1108.0,1121.0,1,'2-5,17
189868.0,0.990064539796836,21999.0,-0.0321561148684464,566,-0.7926111764960123,462,-0.6947136087205189,283041.0,1.002181031728313,141273.0,113693.0,1,'0-5,5
4755.0,-0.3343871082100988,2099.0,-0.1059744523683544,1955,-0.3362447239700464,2917,-0.1957007464677279,7048.0,-0.2567929043074426,2066.0,1663.0,1,'2-5,17
3169.0,-0.3049485075494722,192.0,-0.1131624549861549,3605,1.3134519111498402,3812,0.5972462002783888,10291.0,-0.1908190725720712,1378.0,3167.0,1,'1-4,10
41405.0,-0.1104461033852451,42227.0,0.0379386865440623,130,-0.8283984139251824,310,-0.7071205098661093,27858.0,-0.1571835451953458,19447.0,21758.0,1,'1-5,11
2774.0,-0.3098934839265288,214.0,-0.109170428630594,557,-0.2754380904620759,579,-0.3177627592089042,1526.0,-0.2695914477243086,0.0,174.0,1,'2-5,17
13623.0,-0.2918652317419164,1996.0,-0.1054492477209857,3578,0.1980302277380066,4230,0.0743318078774751,14484.0,-0.2178707860536912,2113.0,2776.0,1,'2-5,17
28404.0,-0.1710011524125445,6229.0,-0.0936639380553653,209,-0.8141468591967518,1,-0.7138713237247394,38918.0,-0.0892665927885418,19526.0,25953.0,1,'1-5,11
269194.0,1.5598734296688948,46295.0,0.0319259176439166,13669,3.1962406413836133,22285,3.0040025680943176,65525.0,0.0281239487805748,17577.0,17966.0,1,'2-4,16
9065.0,-0.3195324975809108,1869.0,-0.1047897979395361,2435,-0.1110701592608432,3232,-0.0460881150061965,7370.0,-0.2498997108640924,1470.0,2410.0,1,'2-5,17
46750.0,-0.0499894618480365,3884.0,-0.102752569150415,843,-0.7618911585258397,0,-0.719892319868923,44862.0,-0.0776730012964189,39929.0,32773.0,1,'1-5,11
11932.0,-0.3082500788420145,1658.0,-0.1055481651882031,4046,0.3991355000169715,5547,0.2210251684812206,13771.0,-0.2256215578939306,2883.0,3598.0,1,'2-5,17
701.0,-0.3656413270628985,90.0,-0.1108944187735265,112,-0.9059902118910822,174,-0.7147835958677975,2418.0,-0.2677188873007213,9381.0,24432.0,1,'1-5,11
