FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
34244.0,53986.0,278.0,1845.0,322.0,199.0,346,203,37561.0,36402.0,26554.0,26627.0,20.1,PEuk1,4
4758.0,17484.0,1805.0,5286.0,1468.0,1411.0,1744,1901,4456.0,4589.0,104.0,433.0,20.2,Syn,6
62298.0,89230.0,45044.0,71259.0,4197.0,4178.0,10530,10968,27987.0,28805.0,10427.0,9629.0,20.2,Syn,6
5218.0,15791.0,1205.0,3044.0,901.0,1070.0,1463,1869,4225.0,5142.0,320.0,1695.0,20.2,Syn,6
15323.0,28707.0,5595.0,9790.0,3907.0,3791.0,4950,5477,14657.0,15677.0,2017.0,3410.0,20.3,Syn,6
12618.0,24615.0,8764.0,17157.0,52.0,78.0,168,152,19002.0,18317.0,7592.0,14197.0,20.3,PEuk1,4
462242.0,578242.0,388249.0,533697.0,846.0,1091.0,0,149,105174.0,95168.0,67577.0,57354.0,20.3,PEuk1,4
6744.0,13005.0,2422.0,4554.0,5039.0,4988.0,6623,7284,16204.0,17600.0,2415.0,2682.0,20.4,Syn,6
4377.0,10059.0,1371.0,3723.0,2456.0,2992.0,4508,5345,12636.0,14714.0,1920.0,4141.0,20.4,Syn,6
1265.0,8321.0,702.0,3163.0,701.0,2142.0,1052,3072,2436.0,6847.0,241.0,464.0,20.4,Syn,6
1495.0,9718.0,422.0,2138.0,222.0,166.0,137,8,2157.0,4549.0,781.0,1461.0,20.5,PEuk1,4
4191.0,7847.0,0.0,1009.0,134.0,186.0,237,82,11955.0,7144.0,31.0,1112.0,20.5,PEuk1,4
6163.0,9314.0,320.0,1297.0,339.0,244.0,83,111,7394.0,9883.0,26989.0,32132.0,20.5,PEuk1,4
423653.0,596576.0,42852.0,60507.0,1890.0,1068.0,54,155,583548.0,489255.0,165900.0,150512.0,20.5,Nano1,2
3874.0,5869.0,68.0,1415.0,1075.0,2563.0,1835,3289,4974.0,8389.0,1914.0,1440.0,20.5,Syn,6
8487.0,16840.0,1735.0,3420.0,2259.0,2542.0,3152,3336,9273.0,10736.0,1381.0,2750.0,20.5,Syn,6
2721.0,13414.0,647.0,2587.0,1028.0,2780.0,1485,3892,3778.0,10674.0,253.0,260.0,20.6,Syn,6
2806.0,9700.0,2554.0,5138.0,1529.0,1809.0,1878,2086,5360.0,5756.0,1124.0,1487.0,20.6,Syn,6
33174.0,52563.0,16602.0,29110.0,264.0,336.0,103,77,41342.0,41652.0,19436.0,28003.0,20.6,PEuk1,4
18550.0,31607.0,8203.0,14188.0,25.0,61.0,270,182,28891.0,26734.0,18525.0,19726.0,20.6,PEuk1,4
11974.0,15236.0,3141.0,4963.0,3723.0,4158.0,4745,5309,13260.0,14200.0,1923.0,1757.0,20.7,Syn,6
2221.0,11552.0,2428.0,7414.0,1012.0,1348.0,1742,2510,4231.0,6345.0,1042.0,1300.0,20.7,Syn,6
7523.0,9298.0,2482.0,5192.0,2616.0,2718.0,3981,3792,11352.0,11818.0,3805.0,3682.0,20.7,Syn,6
17483.0,30842.0,9696.0,18271.0,390.0,271.0,201,114,29033.0,28570.0,26441.0,19976.0,20.8,PEuk1,4
39891.0,58877.0,19252.0,28523.0,430.0,244.0,278,136,46015.0,40415.0,34099.0,33768.0,20.9,PEuk1,4
6465.0,10336.0,923.0,2301.0,611.0,740.0,1688,2035,4522.0,5297.0,2590.0,2496.0,20.9,Syn,6
10642.0,33038.0,1483.0,4117.0,3268.0,3163.0,4878,5237,15157.0,15984.0,3931.0,3672.0,20.9,Syn,6
3055.0,6364.0,1271.0,3748.0,2183.0,2726.0,3223,3989,8209.0,9694.0,448.0,625.0,21.0,Syn,6
