FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4
563.0,3383.0,355.0,1854.0,293,280,80,0,8379.0,21205.0,92646.0,202664.0,240.2,-1,-0.6528056802279175,-0.7690939411818472,-0.4221087260150874,0.0063006166286731
1339750.0,1457650.0,136950.0,153625.0,10943,7294,1082,743,3174210.0,1846050.0,1597320.0,920807.0,240.2,-1,6.965182244837827,-0.8979454978858843,-1.5878268320995783,-2.2589321069568085
8576.0,9945.0,1148.0,3444.0,145,170,235,123,6259.0,17051.0,39748.0,55852.0,240.3,0,-0.856409827227082,-0.7133137950682704,-0.3031361109680605,0.1691733382533236
240043.0,341612.0,20744.0,29328.0,224,244,308,157,264337.0,231411.0,112310.0,112271.0,240.3,0,0.0230589159788154,-0.8824119489484928,-0.5998756859261857,0.3298487524778546
46885.0,63521.0,4754.0,9734.0,158,232,248,152,42215.0,39038.0,22720.0,27708.0,240.3,0,-0.7802255812472564,-0.710156151688642,-0.2923615085051776,0.2336112663823961
1230.0,8179.0,164.0,1045.0,143,64,196,104,6200.0,13902.0,33720.0,64409.0,240.4,0,-0.8650743302968275,-0.730340366873756,-0.3236711395407287,0.1737724664677238
2117.0,7458.0,2930.0,7187.0,198,128,121,133,79214.0,87587.0,70040.0,82906.0,240.4,0,-0.7327396937124624,-0.762103052622119,-0.3911312710209439,0.087085137943945
620.0,2979.0,334.0,1550.0,170,113,89,0,18069.0,39563.0,27881.0,51480.0,240.4,-1,-0.8624470164061623,-0.7352628524151636,-0.3116696886723575,0.1527893164394979
2293.0,13610.0,230.0,2608.0,113,0,168,65,4207.0,7311.0,14421.0,25241.0,240.4,0,-0.9254432959476742,-0.7248347247214165,-0.2884277458316684,0.2267249495703235
703.0,3139.0,0.0,225.0,49,0,168,57,5774.0,7696.0,18632.0,27167.0,240.4,0,-0.9364320450625336,-0.7289651303903363,-0.2952786992569934,0.2156851027310237
1403.0,5938.0,181.0,1267.0,131,27,112,0,8171.0,12552.0,44457.0,75893.0,240.4,-1,-0.8523633984064528,-0.7515963782699682,-0.3375987270790095,0.1625728126577509
1178150.0,781927.0,1375330.0,921521.0,45529,12762,9170,2700,10334200.0,3074590.0,4950290.0,1439270.0,240.4,-1,15.15024361704688,0.1070935064174152,-0.8663197917275655,-8.33034753366064
256841.0,356776.0,69223.0,108585.0,782,628,4371,4104,121309.0,107655.0,102692.0,87979.0,240.4,-1,0.0241383339868547,-0.3416188801390159,-0.5220366286240099,0.5919398963792732
1477.0,4309.0,0.0,236.0,154,65,282,165,5228.0,8421.0,7786.0,7475.0,240.4,0,-0.952340971922406,-0.6943557113667171,-0.2622413614491307,0.2234840194984137
2362.0,7822.0,379.0,1632.0,157,125,592,641,13438.0,18925.0,5933.0,7110.0,240.4,0,-0.9287391019325794,-0.6474277938781019,-0.2809780083939855,0.2282247815819975
1276.0,7227.0,140.0,1445.0,103,17,234,189,3786.0,7303.0,3612.0,5347.0,240.4,0,-0.9603597388224177,-0.7023087191358067,-0.2691815044327918,0.2395147505941035
1311910.0,947500.0,350842.0,383451.0,22701,11226,404217,202290,2715320.0,1282870.0,2052070.0,903802.0,240.4,-1,11.430136309600748,29.423493602779903,-14.463843174454553,7.517684592279577
118521.0,186185.0,9375.0,11957.0,320,157,200,100,71301.0,64240.0,53739.0,52921.0,240.6,0,-0.5258407695380843,-0.7629974115769277,-0.365749692827205,0.3250858224188219
69928.0,108244.0,11890.0,18852.0,194,188,374,186,59925.0,56074.0,44197.0,49709.0,240.6,0,-0.6565146150090186,-0.7342346218414713,-0.3435447379017584,0.2620733727085342
11490.0,24532.0,1193.0,2067.0,1801,1566,2417,2141,8123.0,7119.0,2338.0,2468.0,240.8,1,-0.735928103281432,-0.1964372884687946,-0.0094433792800283,0.0308291789935043
41106.0,70634.0,4797.0,7685.0,471,249,308,114,48067.0,41565.0,29091.0,35195.0,240.8,0,-0.7428385542509869,-0.6960299957162198,-0.2793189089202992,0.2066382992629387
11541.0,22688.0,847.0,2757.0,4498,4194,6399,6557,17497.0,16902.0,3111.0,4756.0,241.0,1,-0.3801593997948858,0.7332744252108945,0.3716694208259456,-0.3329664381386613
152697.0,232553.0,35625.0,53149.0,825,587,0,28,95493.0,86233.0,77366.0,69802.0,241.1,0,-0.3266808833143623,-0.726411031362612,-0.2772754336451913,0.2841445976891969
37205.0,60939.0,6110.0,11466.0,170,105,332,139,35331.0,32601.0,23042.0,27454.0,241.2,0,-0.8009596554229669,-0.7199565107567694,-0.3047720710769411,0.2518728480533118
90924.0,120835.0,6371.0,8767.0,481,339,222,120,84552.0,77114.0,74936.0,64086.0,241.3,0,-0.5556865475202327,-0.7299519685224233,-0.3402087426306452,0.1954767461376372
3286.0,11513.0,372.0,1841.0,97,17,260,186,3370.0,5094.0,763.0,837.0,241.3,0,-0.9632561762615556,-0.6997357969242313,-0.2645799913930914,0.2505019019892982
3564.0,11086.0,0.0,1994.0,142,124,163,44,5022.0,8502.0,32688.0,44594.0,241.3,0,-0.8869610571208042,-0.7188829003289221,-0.2901618773644184,0.1855429177313937
427209.0,528527.0,52674.0,75053.0,1543,1077,257,181,609317.0,496138.0,215360.0,207500.0,241.3,-1,0.9786825335407354,-0.9169562664248064,-0.7266488342062146,0.0965349535944544
77070.0,111897.0,14748.0,22569.0,61,117,46,104,89421.0,74698.0,25053.0,37607.0,241.4,0,-0.6575405047445343,-0.7722566258623914,-0.3545260510238976,0.2790718905330565
7395.0,12168.0,2403.0,3860.0,3180,3514,4095,4281,13074.0,13712.0,2096.0,2133.0,241.5,1,-0.5427943819676097,0.3381245634410916,0.2910784071877163,-0.2532737842953162
20633.0,40461.0,4322.0,7122.0,312,156,0,0,27752.0,27301.0,23822.0,24359.0,241.5,-1,-0.8381004115280647,-0.7195225865361826,-0.2645893302245347,0.2072336142791511
441649.0,509178.0,150107.0,196405.0,759,444,559,177,453764.0,336121.0,209808.0,170903.0,241.5,-1,0.7482730734449937,-0.9771867136788244,-0.6294403620386635,0.471714379973975
6988.0,18137.0,2049.0,4508.0,2881,3096,4558,4935,12534.0,13379.0,933.0,3006.0,241.6,1,-0.5654554235397244,0.3267921646595619,0.174547075764224,-0.1537332285141016
67590.0,109270.0,11018.0,17568.0,423,208,0,40,67958.0,61375.0,34237.0,43599.0,241.7,0,-0.6524301317471674,-0.7416477128434611,-0.3074187241150375,0.2381335641750032
27423.0,37569.0,5532.0,6866.0,666,339,212,88,32616.0,30318.0,36579.0,27296.0,241.7,0,-0.7909527038227725,-0.6671661693624205,-0.2236727866081267,0.1583984508804108
3827.0,16879.0,319.0,1926.0,2092,3601,2635,4302,6565.0,10181.0,1033.0,1523.0,241.8,1,-0.6165175873700259,0.236160928649227,0.2517256191935594,-0.218533726902643
1510.0,7976.0,547.0,2378.0,1179,3182,1393,3773,3120.0,8715.0,618.0,1360.0,241.8,1,-0.7146639324290622,0.0500678195960346,0.164387751133753,-0.1470726296710383
8494.0,10062.0,3750.0,4160.0,3058,3095,4413,4396,12997.0,12091.0,3229.0,2313.0,241.8,1,-0.5678082336878506,0.296565649069012,0.2102880046005768,-0.1834211552230675
1015.0,5791.0,1259.0,4913.0,674,1751,1119,3168,3220.0,8874.0,1018.0,2946.0,241.8,1,-0.8175223805115746,-0.2160464135826576,-0.0649317303030954,0.0530898365165429
51830.0,73103.0,3048.0,7008.0,497,242,0,128,55747.0,52041.0,41288.0,41576.0,242.0,0,-0.7102512629867701,-0.7161578358080266,-0.2893493563651056,0.1899355406527399
4624.0,17307.0,1939.0,5231.0,2742,3438,3475,4391,9687.0,12387.0,1430.0,2322.0,242.3,1,-0.5737108307384877,0.2872370616534667,0.2567089688848711,-0.2195492258154133
3637.0,9306.0,0.0,228.0,275,188,118,26,3836.0,5296.0,4930.0,3830.0,242.3,0,-0.9439621025380368,-0.6850144007819728,-0.2214607843149932,0.2050725988265081
3008.0,6643.0,0.0,1278.0,432,230,0,0,10317.0,8085.0,4346.0,3117.0,242.3,-1,-0.9331565934892864,-0.6782793418873038,-0.2003030290596744,0.182967919593043
486171.0,502463.0,41938.0,44992.0,1472,1492,118,172,720869.0,379662.0,246303.0,137616.0,242.3,-1,0.880283612871587,-0.8330672580337579,-0.5711237150645471,0.0870958138459272
32260.0,46918.0,24872.0,42338.0,327,242,0,26,56086.0,51178.0,36220.0,41519.0,242.4,0,-0.7428289978977408,-0.7319779738223403,-0.2692626421265291,0.1977890993769117
6950.0,13548.0,1805.0,3496.0,4747,4415,6462,6637,16665.0,17985.0,3048.0,3139.0,242.4,1,-0.3673938004751751,0.7852598550122485,0.4246347408991148,-0.3827050714381165
10994.0,20055.0,2581.0,4153.0,8336,8354,19827,20342,18990.0,20598.0,5971.0,5828.0,242.6,-1,0.2470965253686927,2.907169485675805,0.5979961361486055,-0.6134736241563356
