FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
7056.0,18034.0,1582.0,3705.0,1212,1122,2579,2877,8196.0,9062.0,2470.0,3933.0,28.5,1,-0.613615411394487,-0.6476327826957534,0.0208531037306727
6736.0,11703.0,3098.0,5896.0,2277,2099,3927,4178,15294.0,16010.0,3187.0,5347.0,29.5,1,-0.5463551029259942,-0.2326093644248775,-0.0068018715184494
4823.0,14995.0,537.0,2523.0,1513,1740,2577,3261,7515.0,9811.0,1486.0,1985.0,29.7,1,-0.6086494971995238,-0.5131189247487302,0.0220239579906794
899.0,5466.0,1601.0,6667.0,2470,4305,2995,5412,6625.0,11944.0,699.0,1440.0,30.0,1,-0.5590992671539162,0.078208695206869,0.0072052892782305
368448.0,555752.0,67117.0,92721.0,429,371,100,93,125799.0,111541.0,50714.0,50671.0,30.0,-1,0.9047548607918856,-1.365683928800785,0.3225929869556296
40333.0,51552.0,5530.0,9783.0,131,155,0,0,37830.0,35202.0,26105.0,25631.0,30.1,-1,-0.4624785687789997,-1.2939356103911244,-0.0024457127381688
8241.0,10482.0,2236.0,3408.0,7533,7588,6768,6754,7326.0,7453.0,1518.0,1363.0,30.3,-1,-0.3176480231046508,1.369432680485417,0.0572046433838811
38166.0,50084.0,11777.0,18078.0,213,214,172,102,43261.0,40765.0,20990.0,33959.0,30.4,0,-0.4284772535617022,-1.263754434528716,-0.0161597938455071
6806.0,20690.0,2162.0,5312.0,14220,18068,18729,24016,23605.0,28683.0,1693.0,5322.0,30.4,-1,0.1653333530468071,5.389350822194722,-0.2052461781630206
24691.0,27611.0,1888.0,3754.0,9034,8188,13146,12497,42853.0,40828.0,9345.0,7812.0,30.5,-1,-0.0861163750766568,2.437471553332438,-0.1277867493532378
2519.0,8214.0,1706.0,4848.0,8267,11429,11591,15422,18504.0,24829.0,1014.0,1780.0,30.8,-1,-0.1968840686169375,2.8548007832224958,-0.126693894965224
