FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
19333.0,22550.0,1280.0,3075.0,0,27,263.0,91.0,7611.0,9163.0,2093.0,1394.0,20.8,0,-0.7287340695328546,-0.6301335882891991,-0.3038708355742877,-0.4441323792573072,-0.0403743550871062
1276.0,5102.0,1065.0,3256.0,4381,7733,4687.0,8191.0,11257.0,18844.0,299.0,509.0,20.8,-1,-0.2334526635522367,0.968546110099914,0.553182149106695,0.9029096728576796,0.3045445093023992
1098.0,4616.0,1193.0,4543.0,421,1074,545.0,1745.0,1389.0,4168.0,936.0,1326.0,20.9,1,-0.7081054851793862,-0.4093328902785134,-0.2041093149522031,-0.2722507816849829,0.0374745047091878
67697.0,119547.0,10283.0,16651.0,480,276,411.0,199.0,50197.0,52602.0,54037.0,52652.0,21.0,0,-0.3693335273160681,-0.6251715955369982,-0.3395351318616777,-0.3718905528671176,-0.1857878460566578
2806.0,16235.0,770.0,4590.0,1955,3407,2792.0,4937.0,7978.0,14293.0,446.0,2463.0,21.0,1,-0.5068484291313653,0.1275967772154019,0.0501460165854676,0.1212038271417034,0.1107124798422937
258833.0,414312.0,458528.0,704289.0,774,600,74.0,163.0,159617.0,170072.0,89949.0,89518.0,21.2,-1,0.7644329909186595,-0.7929935522467491,0.1578841625764051,-0.8590628128936902,-0.287334054597637
24400.0,41827.0,8459.0,12011.0,101,99,308.0,201.0,29752.0,32469.0,24964.0,27585.0,21.5,0,-0.6007452259718288,-0.6354271551489371,-0.3537244250323912,-0.4087177701721558,-0.0672399640062018
7664.0,20033.0,1428.0,2461.0,44,124,335.0,162.0,2919.0,4058.0,3621.0,2594.0,21.5,0,-0.737840789751112,-0.6088603814086216,-0.2939229928841738,-0.4262280393312376,-0.0255665166798715
1845.0,11000.0,284.0,1661.0,88,0,146.0,56.0,653.0,6043.0,2627.0,9933.0,21.5,0,-0.7425861029946711,-0.6286112115485767,-0.3151901881622497,-0.4244169589413578,-0.0296047555988296
296324.0,470534.0,64072.0,115531.0,666,865,440.0,199.0,368397.0,372478.0,154309.0,151232.0,21.5,-1,0.9373671589627312,-0.7931782756789733,-0.591252654758144,-0.2983993068508404,-0.6559477973918649
5225.0,18640.0,370.0,833.0,2337,3049,3046.0,3920.0,7384.0,8760.0,1524.0,1880.0,21.5,1,-0.4996439842934131,0.0864361244196145,0.0558472456430059,0.1083924825335116,0.0840484601398645
4503.0,5952.0,0.0,755.0,118,207,136.0,72.0,6453.0,4611.0,1546.0,896.0,21.5,0,-0.7519664040702322,-0.597662042970439,-0.2855524948700076,-0.3938978556220224,-0.0019531308076864
307033.0,490541.0,26107.0,36670.0,1287,874,242.0,92.0,329543.0,321854.0,157589.0,159558.0,21.5,-1,0.9068332944815028,-0.7426915010105957,-0.5363491755676831,-0.2277918977249364,-0.737786262561019
3504.0,10577.0,1685.0,5436.0,1800,2229,2525.0,3384.0,6576.0,8836.0,1039.0,2658.0,21.7,1,-0.5655764709213768,-0.0782543054209393,-0.0475769405541705,-0.0404099806288428,0.0620321125965386
9518.0,16437.0,1435.0,3170.0,2959,3629,4340.0,5451.0,12353.0,13999.0,2994.0,4104.0,21.8,1,-0.4252962111129615,0.2757711936861491,0.1110818089762634,0.2080239210217452,0.1007580083036786
3593.0,9647.0,175.0,1016.0,1477,2326,2499.0,3823.0,8444.0,11894.0,2669.0,2607.0,21.8,1,-0.5791565038807901,-0.0764777107831465,-0.0723791974021546,-0.0539050747928591,0.0724108853629674
1703.0,9224.0,530.0,2318.0,755,1914,998.0,3116.0,2945.0,9448.0,524.0,636.0,21.8,1,-0.6502382931484849,-0.2327846674698758,-0.1262123774489031,-0.1461911993849803,0.0659343550302502
1908.0,8235.0,1462.0,4849.0,3774,5744,4153.0,6385.0,11221.0,17567.0,968.0,3564.0,21.8,1,-0.3253245508769883,0.6150378021781117,0.3511389075976644,0.5880990896099123,0.2078229616685845
5055.0,9828.0,3386.0,5647.0,2292,2482,2555.0,3007.0,6508.0,7698.0,1796.0,1295.0,21.9,1,-0.5316431711221637,-0.0239253214524706,0.016453609190832,0.0420791636274103,0.0694609392531173
53129.0,100776.0,13425.0,22297.0,696,374,259.0,139.0,13186.0,14114.0,5770.0,4949.0,22.0,-1,-0.5422774608514772,-0.5631393948793798,-0.1796307590057271,-0.3941816394174424,-0.1377470212942937
