FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
15075.0,38357.0,8373.0,15598.0,140,97,177.0,158.0,19789.0,19648.0,7152.0,17381.0,183.8,-1,-89951.80665463662,-18572.64094308013
13048.0,25755.0,2083.0,5011.0,333,229,266.0,125.0,19123.0,20106.0,17019.0,15723.0,183.9,6,-93145.91754083212,-11507.28433247815
21993.0,22934.0,4425.0,6044.0,6184,6197,8932.0,8848.0,20650.0,18601.0,4790.0,6918.0,184.0,-1,-91478.84734540634,-18401.71061603377
5682.0,12380.0,420.0,1104.0,2229,2722,2849.0,3446.0,7684.0,9868.0,0.0,1058.0,184.0,7,-109709.34272408168,-26802.518992860416
67273.0,100433.0,18792.0,27631.0,390,382,0.0,0.0,73220.0,69439.0,50966.0,53990.0,184.0,-1,-17329.072185688463,31776.16160158959
3403.0,11093.0,2289.0,5005.0,4838,5605,5786.0,6406.0,15333.0,17585.0,1708.0,2625.0,184.0,7,-104976.6027224264,-21888.653031546703
9253.0,14190.0,2885.0,5536.0,13224,13835,13149.0,13448.0,28255.0,26992.0,1260.0,4985.0,184.2,7,-95530.73917724984,-13655.14474985504
9194.0,17727.0,43463.0,53486.0,5259,6067,5821.0,7010.0,15391.0,18347.0,1371.0,1761.0,184.3,-1,-73860.6679748586,-47804.100201738576
89373.0,138031.0,22915.0,35786.0,100,172,248.0,196.0,97560.0,91793.0,81353.0,81720.0,184.3,-1,19009.549700801537,60769.21678720912
192027.0,277335.0,18638.0,32308.0,228,416,118.0,115.0,231834.0,199704.0,89183.0,77851.0,184.4,-1,126239.65233200828,151327.35885458154
2334.0,10300.0,551.0,1797.0,11134,18805,17444.0,29848.0,8399.0,13937.0,1307.0,1913.0,184.4,7,-110149.878208197,-25610.25604168074
2250.0,8079.0,708.0,3020.0,1881,6461,3024.0,10632.0,1775.0,5170.0,478.0,658.0,184.4,7,-113759.65311388056,-30661.113943376356
21501.0,45644.0,3680.0,8767.0,351,266,0.0,0.0,38610.0,37365.0,17140.0,29390.0,184.5,-1,-76934.40113102517,2508.0164064298624
