FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
31678.0,57859.0,15255.0,25800.0,264.0,201.0,256,159,46284.0,45409.0,25928.0,29031.0,22.6,1,21.74511,-35.940727
6158.0,10737.0,1477.0,3371.0,3047.0,3288.0,4125,4967,11439.0,14082.0,1419.0,1952.0,22.7,0,-15.05919,22.960978
1854.0,5987.0,475.0,1288.0,25.0,0.0,212,213,6922.0,5281.0,2053.0,2160.0,22.7,1,-28.793167,-68.31968
912385.0,1134370.0,69369.0,92593.0,6274.0,5339.0,61388,53185,509467.0,407096.0,391852.0,326712.0,22.7,0,23.083273,7.5447454
34019.0,72444.0,3764.0,5833.0,0.0,143.0,259,140,37725.0,37847.0,12888.0,24882.0,22.8,1,22.011106,-22.875364
6493.0,12370.0,976.0,2808.0,671.0,1196.0,949,1791,2701.0,5529.0,0.0,266.0,22.9,0,-71.51022,-25.140434
11825.0,16231.0,2413.0,3143.0,4664.0,4449.0,6087,6266,14395.0,14052.0,2043.0,1824.0,23.0,0,-4.972968,64.31702
20493.0,31415.0,12561.0,19835.0,1440.0,1809.0,3948,4324,11667.0,11957.0,5979.0,4743.0,23.0,0,-8.585322,-2.0533345
109168.0,159296.0,7568.0,9892.0,592.0,361.0,115,116,138532.0,119492.0,39821.0,32694.0,23.1,1,67.61028,-12.594072
4215.0,12940.0,2382.0,5726.0,4421.0,5046.0,5464,6746,11815.0,14568.0,451.0,1368.0,23.1,0,-17.97638,57.27873
3090.0,9872.0,1683.0,5013.0,2921.0,6203.0,3450,6809,9273.0,18006.0,2478.0,3345.0,23.2,0,-25.670197,49.516285
2659.0,16744.0,894.0,5026.0,2148.0,6006.0,2707,6671,7042.0,17777.0,456.0,1135.0,23.2,0,-30.370155,44.428463
19816.0,22971.0,4576.0,5251.0,4532.0,4003.0,5603,5778,17466.0,18394.0,2263.0,4237.0,23.3,0,0.37013972,52.087254
2567.0,16028.0,1110.0,3985.0,1487.0,5065.0,2193,6362,5025.0,13410.0,1178.0,1979.0,23.3,0,-31.794989,42.35995
