"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
10848,21375,4772,8346,4486,4347,5617,5785,16573,16493,4524,3112,5273.7
7361,18451,5312,11786,173,207,36,7,6088,6678,2768,4503,5273.8
9845,21976,2303,5661,4886,5179,5901,6123,17065,17699,3808,5083,5273.8
27680,45491,27404,46556,198,103,323,145,43682,40970,34745,34777,5273.8
14317,34901,950,4033,186,119,178,96,22115,22867,11354,18838,5273.9
6864,15361,4440,7786,3527,3863,5535,6138,12333,13296,1196,1571,5274
2355,11502,1821,5861,1499,2267,1508,2317,5048,8011,428,729,5274
81283,130256,6394,9061,255,220,402,170,44812,36985,32574,33973,5274
10447,15540,1004,2668,3778,4061,5710,5771,15515,15797,4884,4353,5274
25611,45306,7326,13167,0,22,283,104,34634,34812,22043,28379,5274
239240,357471,38519,59017,86,234,402,192,327461,277164,127726,114721,5274.1
15542,23984,1091,2974,4590,4493,7350,7090,17894,19370,4091,4016,5274.1
1640,8411,846,3675,2204,3677,2960,5181,6765,11632,389,1159,5274.2
11016,16506,1658,3623,2799,2583,3899,4239,10130,9562,1667,2128,5274.2
377994,498636,64439,101497,411,718,7571,7302,165374,146277,166841,125956,5274.3
180002,265319,28731,45438,441,332,280,130,177204,161477,65900,70656,5274.3
186419,290103,22845,36851,420,265,0,103,231047,205428,86714,83018,5274.3
5397,9397,403,2066,174,148,122,79,4553,4799,2633,1764,5274.3
399358,545515,177795,274406,843,907,0,147,226479,194680,141860,110120,5274.3
25018,42531,18969,30042,204,120,193,100,33767,31869,28392,27328,5274.3
5641,11097,2317,4744,3546,4195,5133,6095,13636,15571,2956,2465,5274.4
1987,11973,415,3442,529,1649,992,3307,1958,6768,168,676,5274.4
31956,50495,4310,6699,194,254,156,112,38557,36986,28355,26544,5274.4
42604,75383,22229,37659,668,253,119,39,72069,68000,45583,51888,5274.4
2221,14256,571,2780,460,1235,491,1462,1565,3912,744,1203,5274.4
6144,16355,2459,5684,1401,1383,2424,2559,8773,9735,2345,4190,5274.4
4247,12573,1321,3286,4767,6400,6569,8578,14885,19143,1666,3940,5274.4
6999,20010,2358,4539,1721,2001,3048,3457,6987,8000,2572,2082,5274.5
1416,5699,777,2411,2160,2853,2499,3503,6884,9484,1080,2146,5274.6
255397,377570,31205,48493,797,292,140,142,144243,125266,147074,133535,5274.6
25321,34420,5880,8470,0,9,295,162,24719,22858,15389,15777,5274.7
9434,15005,1155,2623,2666,2827,4558,4735,12952,14011,4810,4750,5274.8
10654,21260,2904,6906,3379,3605,4457,4644,11248,12350,1394,2616,5274.8
9400,14694,1313,3217,4469,4594,6740,6747,15275,15127,2687,2916,5274.8
138313,197824,9580,15593,234,176,77,128,223327,186895,48861,49237,5274.9
18283,37476,7909,15294,3105,3240,6127,6293,16349,16705,4814,7217,5274.9
40624,57196,7937,12772,103,149,206,116,45882,43059,29864,30791,5275
8415,19506,1575,2843,3772,3451,4895,5109,12544,13296,2131,1733,5275
2889,11868,154,2187,2304,3287,2973,4299,7825,11735,598,1159,5275
21304,34686,7489,10321,100,127,74,88,26366,24708,19080,18793,5275
35887,55434,11454,17270,113,124,279,149,35031,32633,25171,22910,5275.1
26884,40351,4487,5912,305,143,323,166,35240,34938,24570,23782,5275.1
820,4938,358,2249,210,169,206,160,3071,6349,1229,1994,5275.2
561962,687906,110405,164627,1923,1221,519,243,988044,793762,391112,334738,5275.2
2752,9839,1505,4001,3194,4218,4385,5774,10159,13200,1243,2027,5275.2
1647,10105,446,5255,165,55,130,47,2839,6892,11572,33678,5275.2
33940,51537,14492,25130,421,173,297,114,50100,48411,28564,38342,5275.2
9830,21278,1241,3531,4560,5102,6593,7349,17163,18328,3555,3765,5275.2
1660,6872,1029,3381,493,1686,904,2172,2455,6223,1559,1599,5275.2
2621,6726,566,3733,1920,2657,2729,3576,7761,10795,772,1018,5275.2
7330,22477,839,1796,2506,2881,3695,4337,11193,12833,1901,3415,5275.2
12427,12504,2758,4803,3098,3241,5511,5590,13450,13681,3723,2103,5275.3
916209,996258,1.43714e+06,1.8647e+06,2471,1639,500,471,466837,369814,139046,123302,5275.4
41412,65043,2317,3985,278,173,137,79,51882,45730,46618,36160,5275.4
83567,113524,15014,21604,100,140,399,176,99041,87410,78545,68166,5275.4
28553,55138,7065,11414,252,118,248,203,32494,32057,20330,23636,5275.4
75340,63659,16817,20639,206,242,447,160,55264,49682,37404,37860,5275.4
26372,49574,12002,23045,146,139,40,44,36988,36706,23229,26934,5275.4
35517,57477,7331,12146,294,299,513,233,48314,45231,35787,37016,5275.5
173935,255393,14946,23729,194,218,282,144,156994,138225,75908,69636,5275.5
9860,9858,1138,3326,2292,2399,3354,3359,9434,8947,1543,1640,5275.5
5080,12912,1690,3594,2316,2997,3548,4372,9545,11829,2592,3212,5275.5
8580,16303,2197,5709,1698,1448,3652,3735,9854,10666,2360,4179,5275.5
10596,17433,8730,18321,2062,1848,3270,3419,8456,8611,4604,4676,5275.6
7636,13445,1187,2283,2592,2833,3273,3310,9291,9017,2623,3040,5275.6
39077,65628,2258,4687,79,95,5,64,60639,54410,33128,35952,5275.6
3751,16757,3609,10696,3421,4151,3681,4586,8524,10786,0,403,5275.7
43531,59588,28058,45722,405,303,1,21,46534,41490,37102,33364,5275.7
20459,35082,3841,6262,6211,6944,9197,9623,22824,23903,5091,5301,5275.7
13293,33077,16914,28951,2640,3263,3810,3795,10396,10893,1251,3014,5275.7
48114,77194,18785,30449,415,264,226,93,58129,58895,34867,49648,5275.7
2828,9326,870,2115,2802,3316,3465,4397,9124,10910,1182,2616,5275.7
20374,34308,2748,6706,5818,6514,7830,8600,19777,20502,4443,4621,5275.7
11500,18095,2912,4949,4414,4899,7084,7066,17554,17738,1562,4049,5275.8
8313,21187,1601,4120,2429,2781,3774,4256,11618,11599,3403,4126,5275.8
16157,25105,1965,4194,2491,2682,3659,3725,12078,11440,2763,2463,5275.8
146179,227331,24673,43233,19,118,440,195,49435,48018,34817,37386,5275.8
49780,77881,3136,4839,331,258,264,93,54754,51851,45772,40751,5275.8
19105,28750,4337,7368,8320,8825,10978,11196,30621,30769,8075,6501,5275.8
