FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Max_Confidence,Label
706.0,3527.0,676.0,2455.0,924.0,3139.0,1128.0,3334,3109.0,8818.0,1283.0,2023.0,21.4,Syn,0.7710057959374963,Syn
5914.0,19821.0,1138.0,3391.0,3464.0,4456.0,4136.0,5409,9732.0,11917.0,193.0,2359.0,21.4,Syn,0.7999490624195945,Syn
3461.0,16355.0,2432.0,6080.0,1284.0,1738.0,1958.0,3155,5013.0,8063.0,755.0,2644.0,21.4,Syn,0.7513906548709802,Syn
15539.0,32246.0,1616.0,3702.0,402.0,275.0,213.0,165,28350.0,29925.0,12887.0,23109.0,21.5,Syn,0.6390641074339543,Syn
5615.0,11086.0,1738.0,3381.0,4816.0,6658.0,5847.0,7991,10036.0,11905.0,1562.0,2586.0,21.5,Syn,0.8569590703251612,Syn
36045.0,65686.0,5896.0,8455.0,475.0,395.0,276.0,115,43156.0,41685.0,31948.0,31976.0,21.5,Syn,0.5844727852743045,Syn
9625.0,12655.0,2298.0,3677.0,4750.0,4777.0,4982.0,5260,12189.0,12473.0,1903.0,1725.0,21.6,Syn,0.8042296013456197,Syn
93969.0,152403.0,26297.0,41116.0,788.0,506.0,412.0,249,210207.0,191665.0,73450.0,82027.0,21.6,PEuk1,0.5872930496677754,PEuk1
36456.0,66751.0,4912.0,8370.0,651.0,336.0,403.0,191,31727.0,32149.0,16345.0,28376.0,21.6,Syn,0.5888451024605026,Syn
15079.0,16772.0,2543.0,4775.0,5994.0,6890.0,6667.0,7615,16309.0,16312.0,2097.0,3246.0,21.7,Syn,0.8457468989509325,Syn
13892.0,21799.0,2061.0,3487.0,3798.0,4045.0,5486.0,6557,16256.0,17886.0,1801.0,3873.0,21.7,Syn,0.8191401356883495,Syn
2348.0,5784.0,327.0,1978.0,3179.0,3794.0,4213.0,5133,11257.0,13629.0,708.0,3303.0,21.7,Syn,0.8068363405348508,Syn
7175.0,10866.0,1095.0,2693.0,3092.0,3193.0,4240.0,4661,11369.0,11962.0,1144.0,1038.0,21.8,Syn,0.7918215243412176,Syn
2389.0,11113.0,1151.0,3002.0,2477.0,3442.0,3346.0,5375,8412.0,12552.0,685.0,890.0,21.8,Syn,0.8066025855825438,Syn
1585.0,3758.0,0.0,0.0,200.0,159.0,0.0,25,10954.0,16194.0,3441.0,3222.0,21.9,Syn,0.6790263889833391,Syn
1050.0,5302.0,82.0,1001.0,212.0,162.0,51.0,0,8366.0,17562.0,2348.0,3939.0,21.9,Syn,0.675939112057616,Syn
1012.0,4209.0,0.0,250.0,275.0,246.0,45.0,0,3016.0,4110.0,2225.0,3465.0,21.9,Syn,0.6820947792495029,Syn
1094.0,3692.0,696.0,2209.0,185.0,115.0,52.0,0,2454.0,4359.0,9545.0,11864.0,21.9,Syn,0.6829305559798345,Syn
778439.0,735416.0,85952.0,123302.0,6693.0,4451.0,487.0,287,2676400.0,1746650.0,834609.0,590975.0,21.9,Nano1,0.9544238051107015,Nano1
52184.0,83174.0,7116.0,10485.0,180.0,62.0,76.0,33,52777.0,53642.0,34543.0,38459.0,21.9,Syn,0.5499830386713321,Syn
25627.0,45204.0,4821.0,9146.0,171.0,259.0,235.0,159,30625.0,29104.0,17358.0,25188.0,21.9,Syn,0.6214378332087789,Syn
61567.0,104395.0,9334.0,15005.0,708.0,814.0,251.0,92,40939.0,38293.0,22942.0,25576.0,22.1,Syn,0.5268076927550595,Syn
9431.0,17299.0,995.0,2253.0,4939.0,4662.0,7084.0,7235,20269.0,19594.0,4142.0,3708.0,22.1,Syn,0.8357357574770196,Syn
7864.0,11763.0,53.0,1624.0,2045.0,2273.0,5050.0,5754,13920.0,15957.0,5802.0,4808.0,22.1,Syn,0.8113591074644171,Syn
16142.0,34572.0,17610.0,36320.0,219.0,249.0,149.0,114,29428.0,30614.0,9393.0,23131.0,22.2,Syn,0.6410725348223354,Syn
1808.0,7239.0,940.0,3176.0,2371.0,3187.0,2898.0,4196,6312.0,9040.0,700.0,1551.0,22.2,Syn,0.7863996437457887,Syn
