PC1,PC2,PC3
-105199.39602691478,-26874.889911874096,-16754.68762213986
-115999.79429044116,-27957.879065318928,-22437.431548059434
-76069.37940177589,-30815.591872736197,-13642.84331654751
13077.217871624642,-26076.87059545331,4227.128889858777
-120986.76894435898,-29486.728487934994,-25398.290840637204
-106062.72795853982,-4147.052354068746,-33124.70304751487
30836.643790005197,-38074.229984720674,-1565.628347243477
-73682.60129833593,-23366.154768558787,-31421.083137490336
3373.3560360733973,-3782.227085696024,53692.37468021345
-109675.82907850474,-27195.499226920965,-20290.62856941919
-115583.98252805293,-20672.28917290939,-19947.863198246352
-102672.7017745426,-25664.57732525798,-13590.769943206726
-57517.53524779716,-24720.199444509963,-8719.272555838968
-117967.23692292541,-29082.128264855728,-22691.04024887934
-36022.895216112636,-30475.957416072426,-13424.617624623985
-118658.82088448817,-28624.73312840068,-23400.700812901156
-114853.91484663733,-27992.07162056199,-22234.89953606312
-47959.954733092454,-26597.46707235001,-4241.205226255894
-108264.17411472522,-27188.452313627786,-20538.507540159644
-119015.20989284987,-29673.172231402845,-24893.874434054287
-120323.24354570443,-30494.37885180738,-25312.337525128147
-116369.30141594731,-29366.784156290658,-22568.321372460145
-78264.11502395303,-33262.46360656882,-19024.994640751436
-47301.68916212737,-18838.482776596822,-12897.393157586053
-118376.66990035474,-28286.755667943155,-23239.95973412677
-47092.31931487603,-33446.163151303066,-13716.8307988623
-113505.35156606087,-26790.25351603094,-21242.989010328776
-116250.50306352039,-27977.192484544183,-23465.75774929383
-120369.26508565176,-28113.290748639913,-24377.309759348478
-116061.66355918163,-27313.22202083525,-20882.715199445243
-112822.356181432,-34672.370605297954,-30407.96066527345
176121.43878547993,19300.07131242042,122831.06051744614
-114739.35551926473,-29544.45416807264,-22241.837089680237
-82298.08710880294,-24254.253114885796,-12552.768645659076
-71137.34761035097,-28637.450221592564,-15156.105965735978
-116103.57268843375,-32433.694509431793,-27937.360472417662
-112070.9018637927,-32981.18656644515,-27780.55605005559
-91403.49602648414,-43910.58028189633,-40039.133176346426
759211.2684402007,135759.66909203585,288514.72401217517
-112218.79116471243,-32657.698039352937,-28645.391066189255
