FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
751537.0,900252.0,55667.0,79237.0,2983.0,2305.0,292,216,1159910.0,876604.0,457550.0,391470.0,89.9,2,Nano1
734451.0,772768.0,82957.0,115976.0,2265.0,1845.0,501,327,1598440.0,1241810.0,1155590.0,927500.0,90.1,2,Nano1
935952.0,946084.0,1701710.0,1921720.0,2435.0,1446.0,1014,454,412944.0,346160.0,205541.0,167242.0,92.6,2,Nano1
493396.0,659489.0,41362.0,62379.0,1502.0,1087.0,177,165,581659.0,442524.0,235989.0,188922.0,95.2,2,Nano1
1800310.0,880872.0,264893.0,147473.0,4489.0,1742.0,1295,469,3732640.0,1392000.0,2396130.0,761321.0,96.8,2,Nano1
601055.0,710015.0,91282.0,138473.0,1550.0,1476.0,0,150,1000350.0,809169.0,321181.0,288229.0,99.7,2,Nano1
420815.0,548056.0,23254.0,26859.0,666.0,446.0,114,188,560655.0,455747.0,212049.0,191385.0,100.7,2,Nano1
796672.0,819645.0,1378150.0,1942480.0,3282.0,2125.0,803,647,474755.0,383463.0,152576.0,148205.0,102.0,2,Nano1
467154.0,562176.0,382097.0,528855.0,838.0,663.0,879,259,438184.0,359164.0,185966.0,161425.0,102.4,2,Nano1
565393.0,767518.0,27880.0,37270.0,2045.0,1468.0,0,90,568900.0,451227.0,218128.0,171149.0,102.9,2,Nano1
752275.0,919609.0,85371.0,121345.0,1697.0,1670.0,333,240,1018820.0,824523.0,423104.0,372139.0,103.6,2,Nano1
851959.0,1164960.0,399297.0,559133.0,2201.0,2131.0,774,377,393068.0,326134.0,185888.0,155606.0,107.2,2,Nano1
1516340.0,1594410.0,2218140.0,2213340.0,4764.0,2336.0,1198,805,948083.0,743731.0,564622.0,406763.0,113.2,2,Nano1
