FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
11638.0,15789.0,2729.0,3374.0,4028.0,4219,5781,5976,15697.0,16396.0,1968.0,4664.0,25.7,0,92.20212,-38.326374
9657.0,19781.0,1709.0,4545.0,4218.0,5066,5366,6284,15071.0,17603.0,671.0,3269.0,25.8,0,102.59659,8.582653
27813.0,45980.0,7993.0,12769.0,0.0,76,143,174,37605.0,40994.0,10886.0,21724.0,25.8,0,100.23491,-27.82798
1384.0,5814.0,87.0,965.0,483.0,1949,793,2526,1884.0,5736.0,294.0,367.0,26.0,0,86.882385,-15.781031
8062.0,15341.0,1591.0,4221.0,3926.0,4074,5053,5245,15243.0,16280.0,3031.0,4148.0,26.0,0,99.24014,-26.273998
3370.0,7433.0,4475.0,6189.0,2355.0,2355,3381,3639,9073.0,9445.0,819.0,1322.0,26.1,0,95.94652,-41.878963
8689.0,13631.0,3807.0,4803.0,0.0,0,352,159,15982.0,8575.0,1336.0,879.0,26.1,0,97.4212,-33.522617
575852.0,624423.0,547406.0,763022.0,1694.0,1377,0,142,698172.0,569223.0,250686.0,236076.0,26.1,0,108.13965,10.1107645
8992.0,18634.0,3680.0,5547.0,3790.0,3820,5771,6001,15809.0,16220.0,1991.0,2630.0,26.3,0,107.17604,-18.221687
23226.0,42572.0,2578.0,5312.0,104.0,87,52,31,35441.0,33789.0,17958.0,27342.0,26.7,0,100.257195,-0.46814865
4309.0,11937.0,2015.0,4649.0,2275.0,2464,3049,3397,9266.0,10158.0,977.0,1213.0,26.7,0,97.36452,2.585402
7495.0,15492.0,3251.0,6889.0,2591.0,2818,4442,4777,13760.0,14534.0,741.0,3004.0,26.7,0,90.819176,-47.008575
82760.0,114034.0,3815.0,6818.0,182.0,139,384,219,46855.0,40331.0,41258.0,29237.0,26.9,0,87.06474,-6.250814
4822.0,13922.0,1780.0,4493.0,11225.0,12624,13002,14564,25720.0,28653.0,749.0,3945.0,27.0,0,96.67055,-34.2501
4056.0,15535.0,1048.0,2722.0,134.0,151,119,54,11229.0,18217.0,4519.0,4108.0,27.0,0,85.20593,-54.514397
3579.0,7211.0,2811.0,5082.0,149.0,102,146,84,34701.0,24491.0,5225.0,4151.0,27.0,0,97.550896,-38.135586
9290.0,15331.0,226.0,2202.0,201.0,210,238,121,12091.0,10402.0,13455.0,6270.0,27.0,0,103.37334,-14.804735
1232550.0,1196690.0,873567.0,887886.0,3243.0,2257,1385,757,2199320.0,1750120.0,1374480.0,1070140.0,27.0,0,89.63477,-21.682896
9639.0,12249.0,2904.0,4557.0,2391.0,2105,3001,2700,8524.0,8125.0,1789.0,1550.0,27.1,0,101.05057,-11.81108
7060.0,12956.0,1131.0,2277.0,2525.0,3333,3329,4233,9393.0,12555.0,1962.0,2712.0,27.1,0,97.19987,-4.287274
1707.0,8746.0,696.0,2679.0,180.0,59,185,139,40526.0,62017.0,29272.0,43084.0,27.1,0,80.69772,-29.8251
2918.0,15454.0,846.0,3405.0,154.0,58,235,161,45594.0,66723.0,38719.0,64588.0,27.1,0,104.27001,-16.547312
3243320.0,1273240.0,1767920.0,980601.0,13248.0,3509,3905,1052,12141800.0,2947090.0,10026000.0,2298130.0,27.1,0,92.20312,-37.247253
5817.0,17661.0,1647.0,4102.0,2210.0,3068,3187,4174,10417.0,13731.0,301.0,1779.0,27.3,0,107.83056,2.5045452
39007.0,56637.0,4246.0,5756.0,278.0,262,106,46,41840.0,35930.0,36475.0,25684.0,27.4,0,99.18458,-12.854449
37826.0,51400.0,4229.0,6199.0,520.0,399,496,243,31717.0,28702.0,30678.0,26308.0,27.6,0,96.899284,-20.663912
51359.0,71589.0,12033.0,17775.0,408.0,198,93,67,77921.0,71031.0,48849.0,49682.0,27.7,0,104.18701,-16.526356
4372.0,15747.0,1421.0,4278.0,3223.0,4958,4829,7447,11884.0,18966.0,1865.0,2513.0,27.8,0,97.49171,-3.988122
3517.0,9591.0,0.0,671.0,442.0,1428,676,1861,2287.0,5784.0,273.0,608.0,27.8,0,96.88703,-20.575962
17091.0,31288.0,563.0,1813.0,3431.0,3648,7893,8064,17887.0,18682.0,7359.0,6713.0,27.8,0,106.96445,-18.257973
