FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
33698.0,79294.0,4777.0,8516.0,227,218,0,61,37870.0,41016.0,12689.0,29706.0,21.9,1,-4.632484,4.200647
6289.0,21642.0,1045.0,3770.0,2754,3666,3986,5396,13271.0,17882.0,901.0,3210.0,21.9,4,14.732102,6.656955
927234.0,1165580.0,105820.0,147618.0,5423,4444,94944,82113,599861.0,492649.0,413502.0,361614.0,22.0,2,8.331687,-4.4865966
81229.0,144894.0,9216.0,18799.0,158,236,496,251,88920.0,92364.0,40068.0,55188.0,22.0,1,-1.8442556,1.5809261
10840.0,26613.0,2785.0,6774.0,5016,5518,7056,7981,15447.0,16636.0,1362.0,4008.0,22.0,4,13.07773,-0.1908339
5743.0,12619.0,2095.0,5584.0,1951,2255,3244,3830,9263.0,10445.0,3384.0,2848.0,22.1,4,14.44644,12.350347
202810.0,309044.0,29456.0,52543.0,385,351,319,179,248967.0,232512.0,94491.0,94562.0,22.2,1,0.43037224,-1.1794454
1380.0,9464.0,841.0,3126.0,207,136,159,50,2247.0,4379.0,577.0,1046.0,22.3,0,-0.9658128,14.11449
1060720.0,976344.0,863122.0,858666.0,1692,1198,525,190,407123.0,362826.0,204551.0,161810.0,22.3,1,2.6930406,-3.3460252
7769.0,16482.0,339.0,1335.0,1875,1897,2707,2871,9168.0,10370.0,1649.0,2604.0,22.3,4,12.623906,13.768808
5447.0,16657.0,245.0,1400.0,234,202,270,172,8128.0,11758.0,3414.0,2868.0,22.3,0,-1.5459894,13.962065
3899.0,14902.0,36.0,1369.0,146,99,175,94,9887.0,12719.0,1156.0,1750.0,22.3,0,-1.457847,14.30547
718551.0,860369.0,77495.0,109366.0,7327,6652,61154,57417,752707.0,664765.0,532636.0,505298.0,22.3,2,8.281704,-4.3998713
6422.0,11031.0,1889.0,2725.0,2773,2982,4191,4741,9251.0,10484.0,13.0,1216.0,22.3,4,16.407265,8.058458
11994.0,13808.0,1189.0,2880.0,1600,1775,2495,2945,7622.0,9252.0,3650.0,2571.0,22.4,4,12.059079,13.8097515
4984.0,11333.0,3.0,748.0,309,193,159,78,3599.0,4323.0,545.0,710.0,22.5,0,-1.3358366,13.770477
316712.0,500045.0,43385.0,70970.0,50,296,348,187,221045.0,214344.0,126114.0,124613.0,22.5,1,1.4328873,-1.9622278
11048.0,20898.0,7212.0,15402.0,5173,5829,7063,8335,19603.0,22252.0,3502.0,5937.0,22.5,4,12.61738,-0.29413062
4405.0,24525.0,1472.0,5695.0,936,2790,1337,4135,4037.0,12173.0,1574.0,3887.0,22.6,4,12.17287,10.60883
4639.0,17411.0,859.0,5531.0,2755,3877,3573,5433,10603.0,16060.0,1083.0,2302.0,22.6,4,14.520535,6.760794
90597.0,129881.0,15194.0,22873.0,361,200,362,189,91481.0,84604.0,52829.0,39143.0,22.6,1,-2.083881,1.6051695
20816.0,34826.0,3352.0,3777.0,4827,5113,6980,6905,21579.0,21383.0,3514.0,5229.0,22.7,4,13.774771,0.5081178
1309.0,4713.0,219.0,988.0,3247,6253,4758,10142,7116.0,14061.0,744.0,1113.0,22.7,4,11.733242,0.09358652
17133.0,34842.0,1584.0,4193.0,1178,1095,3377,3581,9553.0,9512.0,2017.0,2685.0,22.8,3,9.372407,12.007702
74361.0,129159.0,48794.0,82517.0,2503,2768,6702,7224,16619.0,16532.0,7482.0,7477.0,22.8,5,11.196467,2.1494436
4455.0,11998.0,1678.0,4174.0,1766,1950,2515,3005,7900.0,9546.0,132.0,3033.0,22.8,4,12.636853,13.488753
1770.0,7404.0,1.0,1256.0,91,5,61,0,875.0,4261.0,14188.0,39695.0,22.8,-1,-3.8177416,15.867836
48923.0,77280.0,16394.0,28373.0,361,166,0,83,47732.0,50298.0,23699.0,46429.0,22.8,1,-3.5975466,3.9463155
17177.0,34173.0,4123.0,10012.0,328,223,349,140,16500.0,16827.0,6096.0,16368.0,22.9,1,-5.4202085,7.881561
30117.0,52017.0,5377.0,7635.0,408,389,237,165,38633.0,40193.0,21805.0,33648.0,23.0,1,-4.3826838,5.6318207
680.0,3942.0,0.0,399.0,898,1501,1429,2537,3948.0,7225.0,393.0,811.0,23.0,4,9.685207,14.685627
7338.0,18802.0,1283.0,3389.0,4400,5132,6242,6970,16520.0,17979.0,2766.0,4670.0,23.0,4,14.067437,1.350116
7155.0,10933.0,2523.0,3725.0,3823,4449,4925,5578,12708.0,13925.0,1593.0,2643.0,23.1,4,14.8828945,4.0745506
70007.0,105813.0,3240.0,5120.0,130,146,0,150,51357.0,49674.0,48461.0,40330.0,23.1,1,-3.1960802,2.7605329
4503.0,14055.0,1311.0,4158.0,3104,3831,3695,4465,9073.0,10648.0,0.0,1760.0,23.2,4,14.857849,7.66972
5914.0,15028.0,2756.0,6672.0,1854,2060,2217,2558,7190.0,8314.0,711.0,1071.0,23.2,4,12.402677,13.633088
6860.0,10137.0,726.0,2087.0,3071,3167,4262,4433,9425.0,9748.0,915.0,1385.0,23.2,4,16.056921,7.8194695
5048.0,14308.0,2641.0,5322.0,3167,3641,3817,4337,11992.0,12612.0,155.0,2162.0,23.2,4,15.087417,7.78179
8429.0,19666.0,1702.0,3450.0,4176,4698,5657,6448,18014.0,20318.0,1876.0,4454.0,23.3,4,14.463793,2.1178534
19264.0,46969.0,4361.0,7928.0,255,163,289,146,22100.0,23665.0,18224.0,19628.0,23.3,1,-5.9610896,6.830776
2244.0,7582.0,1829.0,4803.0,966,1381,1238,1829,3254.0,4520.0,114.0,329.0,23.3,4,9.487518,15.592443
64270.0,110011.0,8443.0,13130.0,267,179,402,167,117246.0,114692.0,38575.0,43454.0,23.6,1,-1.6622447,1.3832623
69233.0,110527.0,41966.0,70015.0,4462,4177,5396,5904,16809.0,17684.0,3571.0,3844.0,23.8,5,11.669226,1.844286
8059.0,13471.0,1797.0,3956.0,2524,2706,3049,3315,8489.0,8499.0,1365.0,1557.0,23.9,4,14.335591,11.542675
54954.0,90862.0,6771.0,11582.0,438,288,30,19,54655.0,55227.0,24152.0,35568.0,24.0,1,-3.3984778,3.2333267
19180.0,41360.0,3064.0,7040.0,258,213,215,99,20092.0,20435.0,4913.0,12059.0,24.0,1,-5.620865,7.8061714
